Nome Demanda;PROJETO;DEPÓSITO;DEP.;X;CÓDIGO;Descrição;UNID;MÊS;Qtd;MES;SEMANA;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110029;SUPORTE Z AC REDE COMPACTA 400 DAN;UN;01/03/2026;6;3;out/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110057;PARAFUSO OLH AC 16MM 5/8P 475MM;CX;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110057;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110077;PARAFUSO OLH AC 16MM 5/8P 475MM;UN;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110077;CORDOALHA AC 6,3MM 1/4P 7F;UN;01/10/2026;15;10;40/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110091;PARAFUSO OLH AC 16MM 5/8P 475MM;UN;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110091;CORDOALHA AC 6,3MM 1/4P 7F;UN;01/10/2026;15;10;40/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110097;PARAFUSO OLH AC 16MM 5/8P 475MM;UN;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110097;CORDOALHA AC 6,3MM 1/4P 7F;UN;01/10/2026;15;10;40/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110101;CONECTOR DER CUNHA AL 2AWG 1/0AWG;UN;01/01/2026;3;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110157;PARAFUSO OLH AC 16MM 5/8P 475MM;UN;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110157;CORDOALHA AC 6,3MM 1/4P 7F;UN;01/10/2026;15;10;40/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110158;CINTA POSTE ACO 290MM;UN;01/01/2026;2;1;jan/26;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110158;POSTE CONCRETO TRON CON 13M 600DAN;UN;01/05/2026;8;5;18/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110159;PARAFUSO OLH AC 16MM 5/8P 475MM;CX;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110159;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110182;LACO PREF TOPO CAA/CA 4/0AWG VM;UN;01/04/2026;1;4;14/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110185;BRACO SUPORTE TIPO C 580X365MM 851/6;UN;01/10/2026;10;10;40/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110185;CRUZETA POL FBV/RES PES 2400X112,5X90MM;UN;01/01/2026;20;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110195;CINTA POSTE ACO 290MM;UN;01/01/2026;2;1;jan/26;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110195;POSTE CONCRETO TRON CON 13M 600DAN;UN;01/05/2026;8;5;18/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110210;PARAFUSO OLH AC 16MM 5/8P 475MM;UN;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110210;CORDOALHA AC 6,3MM 1/4P 7F;UN;01/10/2026;15;10;40/2026;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110215;CABO AL CONCENTRICO 2F 2X25+25MM2;UN;01/03/2026;150;3;out/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110248;CRUZETA POL FBV/RES PES 2400X112,5X90MM;UN;01/01/2026;20;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110248;CABO ELET CU 120MM2 90°XLPE 0,6/1KV;UN;01/10/2026;20;10;40/2026;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110256;"TRAFO CRTE 0,6KV 400-5A; 0,3C12,5 BARRA";UN;01/03/2026;20;3;out/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110282;OLHAL PARAFUSO AC 16MM 5000DAN;UN;01/01/2026;30;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110282;BRACO C/GRAMPO SUSPE SECU 500DAN;UN;01/10/2026;30;10;40/2026;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110288;CONECTOR DER CUNH AZ AL 4/0 2/0 336,4MCM;UN;01/04/2026;6;4;14/2026;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110356;TERMINAL COMPRESSAO OLHAL 120MM2 1F;UN;01/03/2026;20;3;out/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110384;SUPORTE Z AC REDE COMPACTA 400 DAN;UN;01/03/2026;6;3;out/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110384;LACO LATERAL PREF CAA E CA 1/0AWG DUPLO;UN;01/08/2026;6;8;31/2026;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110404;TERMINAL COMPRESSAO OLHAL 120MM2 1F;UN;01/03/2026;20;3;out/26;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110418;MED IN 1E 2F 120 240V 120A TB QE GD B;UN;01/03/2026;100;3;out/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110487;SUPORTE Z AC REDE COMPACTA 400 DAN;UN;01/03/2026;6;3;out/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110487;LACO LATERAL PREF CAA E CA 1/0AWG DUPLO;UN;01/08/2026;6;8;31/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110555;PARAFUSO OLH AC 16MM 5/8P 475MM;CX;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110555;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110557;PARAFUSO OLH AC 16MM 5/8P 475MM;CX;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110557;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110649;CONECTOR CUNHA AL 4/0(2) AWG;CX;01/03/2026;10;3;out/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110649;POSTE FIBRA VIDRO E-CR 13M 400DAN;CX;01/01/2026;15;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110649;CORDOALHA AC 6,3MM 1/4P 7F;CX;01/10/2026;15;10;40/2026;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110690;CRUZETA POL FBV/RES PES 2400X112,5X90MM;UN;01/01/2026;20;1;jan/26;;;
Coleta de demanda de Materiais DPC - 2026 rev.06 - 12-02-26;A40_INSPEÇÃO_UCS;CUSTEIO;DPC;;110690;CABO ELET CU 120MM2 90°XLPE 0,6/1KV;UN;01/10/2026;20;10;40/2026;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110708;CONECTOR CUNHA AL 4/0(2) AWG;UN;01/03/2026;10;3;out/26;;;
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25;CUSTEIO;CUSTEIO;DTM;;110713;ALCA PREFORM DIST CAA/CA 2/0AWG 70MM2;UN;01/03/2026;2;3;out/26;;;
