Tipo de depósito;Posição no depósito;Qtd.disponível UMB;UM básica;Produto;Descrição breve do produto;Tipo de estoque;Denominação do tipo de estoque;Preço do material;Valor total;Nome do usuário;Dt.contg.inven.fís.;Qtd.na UM administrada em estoque;UM admin.estoque
9020;GI-ZONE;9;UN;400040;TRAFO AER 3F 15KV 75KVA 220/127V 7TP;L2;Utilização livre depósito INVT;12.185,82;109.672,38;;;0,00000000000000;
9020;GI-ZONE;2;UN;401321;RELIGADOR 3F AUTOMATICO 15,5KV 630A 16kA;L2;Utilização livre depósito INVT;148,50;297,00;;;0,00000000000000;
9020;GI-ZONE;1;UN;401324;TRAFO AER 3F 15KV 30KVA 220/127V 7TP;L2;Utilização livre depósito INVT;11.306,26;11.306,26;;;0,00000000000000;
9020;GI-ZONE;0;UN;402027;TERMINAL TUBULAR CU ESTANHADO 16MM2 AZ;L2;Utilização livre depósito INVT;1,29;0,00;;;0,00000000000000;
9020;GI-ZONE;0;UN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;L2;Utilização livre depósito INVT;71,72;0,00;;;0,00000000000000;
9020;GI-ZONE;0;UN;403499;ABRACADEIRA PLAS 300 X 4,80MM;L2;Utilização livre depósito INVT;0,18;0,00;;;0,00000000000000;
9020;GI-ZONE;0;UN;403594;ALCA PREFORM CABO CONC  2X16 + 16;L2;Utilização livre depósito INVT;10,04;0,00;;;0,00000000000000;
9020;GI-ZONE;0;UN;403602;ABRACADEIRA PLAS UV 525X8,90MM TRI;L2;Utilização livre depósito INVT;1,25;0,00;;;0,00000000000000;
9020;GI-ZONE;0;UN;403682;BUCHA LOK 01;L2;Utilização livre depósito INVT;0,85;0,00;;;0,00000000000000;
9020;GI-ZONE;0;UN;403838;ALCA PREFORM CABO CONC  1X16 + 16;L2;Utilização livre depósito INVT;3,07;0,00;;;0,00000000000000;
9020;GI-ZONE;59;UN;801352;ELO FUSIVEL BOTAO DISTRIB K 10A 500MM;F3;Utilização livre depósito CUST;5,85;345,15;;;0,00000000000000;
9020;GI-ZONE;30;UN;805400;PORCA SEXTAVADA, M8, ZINCADA;F3;Utilização livre depósito CUST;0,31;9,30;;;0,00000000000000;
BLIN;1G-01-05B BLIN;19.643;M;400813;CABO ELETRICO ISOLADO SINGELO 6MM2;L2;Utilização livre depósito INVT;1,75;34.375,25;;;0,00000000000000;
BLIN;1G-04-01A BLIN;1.864;M;402152;CABO ELET CU 95MM2 90°XLPE 0,6/1KV;L2;Utilização livre depósito INVT;64,20;119.668,80;;;0,00000000000000;
BLIN;1G-05-02A BLIN;8.103;M;403656;CABO AL CONCENTRICO 3F 3X25+25MM2;L2;Utilização livre depósito INVT;24,04;194.796,12;;;0,00000000000000;
BLIN;1G-05-03A BLIN;569;KG;401823;CORDOALHA AC 6,3MM 1/4P 7F;L2;Utilização livre depósito INVT;28,25;16.074,25;;;0,00000000000000;
BLIN;1G-05-04A BLIN;3.375;KG;400594;CABO DE AÇO REVESTIDOS DE COBRE 35MM²;L2;Utilização livre depósito INVT;95,18;321.232,50;;;0,00000000000000;
BLIN;1G-05-05A BLIN;985;M;402318;CABO  MULT 3X120+1X70MM² XLPE 0,6/1 KV;L2;Utilização livre depósito INVT;47,04;46.334,40;;;0,00000000000000;
BLIN;2G-01-02A BLIN;300;UN;403209;PRENSA CABO PVC 3/4P;L2;Utilização livre depósito INVT;5,77;1.731,00;;;0,00000000000000;
BLIN;2G-01-03A BLIN;4;UN;400375;ALCA PREFORM DIST CAA/CA 2/0AWG 70MM2;L2;Utilização livre depósito INVT;9,03;36,12;;;0,00000000000000;
BLIN;2G-01-04D BLIN;10.358;UN;403209;PRENSA CABO PVC 3/4P;L2;Utilização livre depósito INVT;5,77;59.765,66;;;0,00000000000000;
BLIN;2G-01-07A BLIN;294;UN;401927;MANILHA SAPATILHA 5000DAN;L2;Utilização livre depósito INVT;20,79;6.112,26;;;0,00000000000000;
BLIN;2G-02-03B BLIN;120;UN;400665;GRAMPO ANCOR CUNHA AL 50MM2 400DAN;L2;Utilização livre depósito INVT;23,68;2.841,60;;;0,00000000000000;
BLIN;2G-02-03E BLIN;480;M;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;L2;Utilização livre depósito INVT;70,33;33.758,40;;;0,00000000000000;
BLIN;2G-02-08A BLIN;628;UN;400930;PARAFUSO CAB ABA AC 10MM 115MM;L2;Utilização livre depósito INVT;2,42;1.519,76;;;0,00000000000000;
BLIN;2G-02-09E BLIN;381;M;407094;SEALTUBO 1.1/2 FLEX ESP. AÇO CAPA PVC;L2;Utilização livre depósito INVT;70,33;26.795,73;;;0,00000000000000;
BLIN;2G-03-07A BLIN;4.532;UN;400790;CONECTOR ATERR REFORÇ HAST/CAB 5/8-35MM2;L2;Utilização livre depósito INVT;20,40;92.452,80;;;0,00000000000000;
BLIN;2G-03-12A BLIN;1.120;UN;401566;CONECTOR PARAL AL 4/0AWG 1/0AWG;L2;Utilização livre depósito INVT;22,93;25.681,60;;;0,00000000000000;
BLIN;2G-03-14B BLIN;188;UN;400665;GRAMPO ANCOR CUNHA AL 50MM2 400DAN;L2;Utilização livre depósito INVT;23,68;4.451,84;;;0,00000000000000;
BLIN;2G-03-18A BLIN;1.241;UN;401937;SAPATILHA CABO DE ACO 3/8P;L2;Utilização livre depósito INVT;4,09;5.075,69;;;0,00000000000000;
BLIN;2G-04-00A BLIN;1.385;UN;400906;HASTE ATERRAMENTO CI AC 14,3X2438MM;L2;Utilização livre depósito INVT;99,53;137.849,05;;;0,00000000000000;
BLIN;2G-04-01A BLIN;482;UN;401117;MAO-FRANCESA NORMAL AC 710X32X6,5MM;L2;Utilização livre depósito INVT;12,29;5.923,78;;;0,00000000000000;
BLIN;2G-04-01B - BLIN;263;UN;400805;ELO FUSIVEL BOTAO DISTRIB H 5A 500MM;L2;Utilização livre depósito INVT;5,50;1.446,50;;;0,00000000000000;
BLIN;2G-04-01E BLIN;768;UN;404084;ESPACADOR LOSANG CLASSE 15KV C/ GARRAS;L2;Utilização livre depósito INVT;22,91;17.594,88;;;0,00000000000000;
BLIN;2G-04-05A BLIN;765;UN;401568;CONECTOR COMP DER 4/0AWG 3/0-4/0AWG;L2;Utilização livre depósito INVT;1,24;948,60;;;0,00000000000000;
BLIN;2G-04-06C BLIN;2.397;UN;401568;CONECTOR COMP DER 4/0AWG 3/0-4/0AWG;L2;Utilização livre depósito INVT;1,24;2.972,28;;;0,00000000000000;
BLIN;2G-04-12B BLIN;374;UN;401870;CARTUCHO MET P/CUNHA AZ FEST CALIB 22;L2;Utilização livre depósito INVT;1,02;381,48;;;0,00000000000000;
BLIN;2G-04-13A - BLIN;342;UN;401834;CONECTOR PARAL AL 10AWG-1/0AWG;L2;Utilização livre depósito INVT;11,50;3.933,00;;;0,00000000000000;
BLIN;2G-04-13B BLIN;7.035;UN;402027;TERMINAL TUBULAR CU ESTANHADO 16MM2 AZ;L2;Utilização livre depósito INVT;1,29;9.075,15;;;0,00000000000000;
BLIN;2G-04-14A BLIN;778;UN;405537;CONEC PERF PRIN 16-120 DER 4-36 2AMP LIM;L2;Utilização livre depósito INVT;48,73;37.911,94;;;0,00000000000000;
BLIN;2G-04-14B BLIN;73.727;UN;403682;BUCHA LOK 01;L2;Utilização livre depósito INVT;0,85;62.667,95;;;0,00000000000000;
BLIN;2G-04-14E BLIN;47.204;UN;402027;TERMINAL TUBULAR CU ESTANHADO 16MM2 AZ;L2;Utilização livre depósito INVT;1,29;60.893,16;;;0,00000000000000;
BLIN;2G-04-16A BLIN;15;UN;404732;CONECTOR PERFUR 50-185MM MED TENSAO 15KV;L2;Utilização livre depósito INVT;89,81;1.347,15;;;0,00000000000000;
BLIN;2G-04-19A BLIN;77;UN;400655;GRAMPO ANCOR CUNHA AL 185MM2 400DAN;L2;Utilização livre depósito INVT;42,78;3.294,06;;;0,00000000000000;
