CHAVE;"CÓD.
OPOSTO";ESTOQUE OPOSTO;DEP.;CÓDIGO;DESCRIÇÃO;UND MED.;GRUPO;DEMANDANTES;PLANEJADOR;VALOR UNITÁRIO;ESTOQUE SEGURANÇA;ESTOQUE MÁXIMO;SUGESTÃO PEDIDOS;LT;"SALDO 
ESTOQUE";SALDO EM INSPEÇÃO;"SALDO PEDIDOS 
(A RECEBER)";"SALDO 
CONTRATO
 (A PEDIR)";"ESTOQUE
NORTE 
TECH 
(BLIN)";ESPECIFICO?;RESERVAS ATENDIDAS (ACUM. ANO);"DEMANDA 
ANUAL";COMPRADOR CONTRATAÇÃO;"STATUS 
CONTRATAÇÃO";LINHAS DISPONÍVEIS;LINHAS OC;OC;FORNECEDOR;"SALDO  
LINHA";PROG. ORÇAMENTÁRIOS;NÍVEL DE ESTOQUE;ABC
410047INVT;-; - ;INVT;410047;ALCA PREFORM CABO CONC  2X25 + 25;UN;FERRAGENS 10 - ALÇA / LAÇOS / EMENDAS;DPC/DPM/;ANTONIO; R$ 7,88 ;10.425;18.469;11.079;60; 7.390 ; - ; - ; -   ; - ; - ; 700 ; 31.710 ;AMARILDO;09 - EM APROVAÇÃO PELA MESA DE AVALIAÇÃO;2;0;-;-; 1.169.234 ;A40_INSPEÇÃO_UCS/A188_BLINDAGEM/;ABAIXO SEGURANÇA;C
410155INVT;-; - ;INVT;410155;CX BLIND P/ CONEXAO C/ ABERT INTEL;UN;FERRAGENS 06 - CAIXAS DE MEDIÇÃO;DTE/;ANTONIO; R$ 1.665,00 ;6.005;11.057;6.602;60; 5 ; 360 ; 4.090 ; -   ; 77 ; - ; 467 ; 17.308 ;AMARILDO;12 - CONTRATADO;2;0;-;-; 1.169.234 ;A188_BLINDAGEM/;ABAIXO SEGURANÇA;A
403579INVT;804642; Estoque 0/ Demanda Anual 1500/ Contratos: 0 ;INVT;403579;CABO AL CONCENTRICO 3F 3X35+35MM2;PEÇ;CABOS CONCÊNTRICOS;DPC/DPM/DTE/;ANTONIO; R$ 29,91 ;114.391;216.899;70.796;90; 694 ; 20.000 ; 125.409 ; 200.409 ; - ; - ; 13.681 ; 305.608 ;TEREZA;12 - CONTRATADO;4;0;-;-; 1.169.234 ;A40_INSPEÇÃO_UCS/A11_EXTENS_REDMT/A83_PROJETO_SMC/A188_BLINDAGEM/;ABAIXO SEGURANÇA;A
400040INVT;-; - ;INVT;400040;TRAFO AER 3F 15KV 75KVA 220/127V 7TP;UN;TRANSFORMADORES DE DISTRIBUIÇÃO;DIT/DTE/DTM/;MONA LISA; R$ 20.986,27 ;517;1.002;982;90; - ; - ; 20 ; 2.497 ; - ; - ; 92 ; 1.490 ;ADRIANA;12 - CONTRATADO;0;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A157_MORAR MELHOR/A36_AQUISIC_SIST/A41_EXTREDE_DIST/A11_EXTENS_REDMT/A46_ADEQ_REDISTI/A47_ADEQREDES_IT/A188_BLINDAGEM/A10_PREST_SERVEM/;CRÍTICO;A
408291INVT;804638; Estoque 1000/ Demanda Anual 1500/ Contratos: 0 ;INVT;408291;CABO AL CONCENTRICO 2F 2X25+25MM2;PEÇ;CABOS CONCÊNTRICOS;DPC/DPM/;ANTONIO; R$ 64,24 ;136.915;280.101;83.553;90; 28.857 ; - ; 167.691 ; 172.000 ; - ; - ; 15.932 ; 445.562 ;TEREZA;12 - CONTRATADO;0;0;-;-; 1.169.234 ;A40_INSPEÇÃO_UCS/A188_BLINDAGEM/;ABAIXO SEGURANÇA;A
403656INVT;804639; Estoque 967/ Demanda Anual 1500/ Contratos: 0 ;INVT;403656;CABO AL CONCENTRICO 3F 3X25+25MM2;UN;CABOS CONCÊNTRICOS;DIC/DPC/DPM/;ANTONIO; R$ 44,32 ;222.974;428.941;215.467;90; 14.718 ; - ; 198.756 ; 56.013 ; - ; - ; 62.137 ; 636.370 ;TEREZA;12 - CONTRATADO;1;0;-;-; 1.169.234 ;A130_INSPECAO INTERI/A40_INSPEÇÃO_UCS/A83_PROJETO_SMC/A188_BLINDAGEM/;ABAIXO SEGURANÇA;A
402307INVT;-; - ;INVT;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;CONECTOR/TERMINAL;DIC/DIT/DPC/DTE/DTM/;IDA; R$ 125,24 ;75.349;151.054;95.322;90; 40.732 ; - ; 15.000 ; 41.643 ; 7.070 ; - ; 16.484 ; 213.444 ;AMARILDO;12 - CONTRATADO;2;0;-;-; - ;A08_MANUT_REDMAN/A130_INSPECAO INTERI/A32_INSTALAÇÃO_D/A36_AQUISIC_SIST/A38_REFORÇO_REDE/A41_EXTREDE_DIST/A11_EXTENS_REDMT/A46_ADEQ_REDISTI/A47_ADEQREDES_IT/A188_BLINDAGEM/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
403574INVT;-; - ;INVT;403574;CABO AL CONCENTRICO 3F 3X95+95MM2;UN;CABOS CONCÊNTRICOS;DPC/DPM/DTE/;ANTONIO; R$ 57,96 ;130.465;291.482;203.618;90; 4.661 ; - ; 83.203 ; 115.000 ; 17.594 ; - ; 10.775 ; 378.933 ;TEREZA;12 - CONTRATADO;0;0;-;-; 1.169.234 ;A40_INSPEÇÃO_UCS/A188_BLINDAGEM/;ABAIXO SEGURANÇA;A
400288INVT;-; - ;INVT;400288;TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP;UN;TRANSFORMADORES DE DISTRIBUIÇÃO;DIT/DTE/DTM/;MONA LISA; R$ 28.827,07 ;185;441;404;90; 2 ; - ; 35 ; 2.966 ; 18 ; - ; 128 ; 755 ;ADRIANA; 15 - ADITIVADO;0;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A157_MORAR MELHOR/A36_AQUISIC_SIST/A11_EXTENS_REDMT/A46_ADEQ_REDISTI/A47_ADEQREDES_IT/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
402318INVT;800058; Estoque 874/ Demanda Anual 2976/ Contratos: 0 ;INVT;402318;CABO  MULT 3X120+1X70MM² XLPE 0,6/1 KV;UN;CABOS MULTIPLEXADOS;DIT/DTE/DTM/;MONA LISA; R$ 141,93 ;49.816;69.974;41.226;60; 28.748 ; - ; - ; 3.853 ; 2.763 ; - ; 7.291 ; 145.119 ;ADRIANA;07 - VALIDAÇÃO DA MINUTA;3;0;-;-; 1.169.234 ;A08_MANUT_REDMAN/A157_MORAR MELHOR/A32_INSTALAÇÃO_D/A36_AQUISIC_SIST/A41_EXTREDE_DIST/A11_EXTENS_REDMT/A47_ADEQREDES_IT/A10_PREST_SERVEM/;ABAIXO SEGURANÇA;A
