Documento de compras;Item;Contrato básico;It.contrato superior;ValFix.(cabeç.);Valor pendente;Fornecedor/centro fornecedor;Tipo doc.compras;Ctg.doc.compras;Grupo de compradores;Histórico pedido/docum.SolRem.;Data do documento;Código de imposto;Material;Texto breve;Grupo de mercadorias;Código de eliminação;Categoria do item;Ctg.class.cont.;Centro;Depósito;Qtd.pedido;UM pedido;Qtd.na UnidGestEstoq;Unidade manutenção estoque;Preço líquido;Moeda;Unidade preço;Quantidade prevista;Qtd.prev.pendente;a ser fornecida (quantidade);a ser fornecido (valor;Ãinda a faturar (quantidade);Ainda a faturar (valor);Núm.itens;Domicílio fiscal;Valor líquido pedido
4500144903;10;4600003047;20;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A03;;29/01/2026;C1;402307;CONECTOR PERF AL 25-185MM2 / 1,5-35MM2;MC12002;;;;CDFL;INVT;29.450;UN;29.450;UN;61,60;BRL;1;0;0;29.450;1.814.214,24;29.450;1.814.214,24;1;ZF 1302603;1.814.214,24
4500144903;20;4600003047;30;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A03;;29/01/2026;C1;801240;CONECTOR PERF AL 25-185MM2 / 1,5-35MM2;MC12002;;;;CDFL;CUST;3.000;UN;3.000;UN;61,60;BRL;1;0;0;3.000;184.809,60;3.000;184.809,60;1;ZF 1302603;184.809,60
4500145746;10;4600003113;10;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;10/02/2026;C1;401834;CONECTOR PARAL AL 10AWG-1/0AWG;MC10301;;;;CDFL;INVT;2.230;UN;2.230;UN;9,64;BRL;1;0;0;2.230;21.506,34;2.230;21.506,34;1;ZF 1302603;21.506,34
4500145746;20;4600003113;20;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;10/02/2026;C1;801373;CONECTOR PARAL AL 10AWG-1/0AWG;MC10301;;;;CDFL;CUST;2.780;UN;2.780;UN;9,64;BRL;1;0;0;2.780;26.810,60;2.780;26.810,60;1;ZF 1302603;26.810,60
4500150061;10;4600003556;10;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;GAE;;20/03/2026;C1;800717;GRAMPO LV OLHAL 18MM 10-120/10-70MM2;MC12002;;;;CDFL;CUST;997;UN;997;UN;59,96;BRL;1;0;0;997;59.777,23;997;59.777,23;1;ZF 1302603;59.777,23
4500150182;10;4600003529;10;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;400512;CONECTOR DER CUNHA AL 1/0AWG 336,4MCM;MC12002;;;;CDFL;INVT;352;UN;352;UN;32,35;BRL;1;0;0;352;11.385,58;352;11.385,58;1;ZF 1302603;11.385,58
4500150182;20;4600003529;20;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;401034;CONECTOR DER CUNH AZ AL 4/0 2/0 336,4MCM;MC12002;;;;CDFL;INVT;1.327;UN;1.327;UN;10,76;BRL;1;0;0;1.327;14.278,65;1.327;14.278,65;1;ZF 1302603;14.278,65
4500150182;30;4600003529;30;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;402185;CONECTOR DER CUNHA ESTRIBO 336,4 MCM;MC12002;;;;CDFL;INVT;47;UN;47;UN;28,81;BRL;1;0;0;47;1.354,14;47;1.354,14;1;ZF 1302603;1.354,14
4500150182;40;4600003529;40;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;800813;CONECTOR DER CUNH AZ AL 2/0 4/0 336,4MCM;MC12002;;;;CDFL;CUST;549;UN;549;UN;10,76;BRL;1;0;0;549;5.907,29;549;5.907,29;1;ZF 1302603;5.907,29
4500150182;50;4600003529;50;0,00;0,00;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;800557;CONECTOR DER CUNHA ESTRIBO 336,4 MCM;MC12002;;;;CDFL;CUST;6;UN;6;UN;28,81;BRL;1;0;0;6;172,87;6;172,87;1;ZF 1302603;172,87
