Chave;Sequencia;Fornecedor/centro fornecedor;Documento de compras;Item;Tipo doc.compras;Ctg.doc.compras;Grupo de compradores;;Data do documento;Material;Texto breve;Início per.validade;Fim da validade;Grupo de mercadorias;Código de eliminação;Categoria do item;Ctg.class.cont.;Centro;Depósito;Qtd.do pedido;UM pedido;Qtd.na UnidGestEstoq;Unidade manutenção estoque;Preço líquido;Moeda;Unidade preço;ValFix.(cabeç.);Quantidade prevista;Qtd.prev.pendente;Núm.itens
4026271;1;1012574    HART ENERGIA PROJETOS E ENGENHARIA;4600003192;10;WK;K;A03;;14/05/2025;402627;RELIGADOR 1F AUTOMATICO 15KV 100A 6kA;15/05/2025;15/05/2026;MC21701;;;;CDFL;INVT;0;UN;0;UN;20.900,00;BRL;1;334.400,00;16;0;1
4041871;1;1009270    CAS TECNOLOGIA S.A.;4600002704;50;WK;K;A12;;17/06/2024;404187;CONECTOR EMENDA FIBRA OPTICA POF 2,2MM;17/09/2024;17/05/2026;MC03501;;;;CDFL;INVT;0;UN;0;UN;25,29;BRL;1;2.434.681,39;955;645;1
4042121;1;1009270    CAS TECNOLOGIA S.A.;4600002704;20;WK;K;A12;;17/06/2024;404212;CONECTOR FIBRA OPTICA CLICK  POF 2,2MM;17/09/2024;17/05/2026;MC03501;;;;CDFL;INVT;0;UN;0;UN;17,91;BRL;1;2.434.681,39;2.304;610;1
4042341;1;1009270    CAS TECNOLOGIA S.A.;4600002704;10;WK;K;A12;;17/06/2024;404234;MODULO DE COMUNICACAO REMOTA;17/09/2024;17/05/2026;MC20601;;;;CDFL;INVT;0;UN;0;UN;1.493,70;BRL;1;2.434.681,39;1.326;834;1
4042342;2;1009270    CAS TECNOLOGIA S.A.;4600002704;70;WK;K;A12;;17/06/2024;404234;MODULO DE COMUNICACAO REMOTA;17/09/2024;17/05/2026;MC20601;;;;CDFL;INVT;0;UN;0;UN;1.493,70;BRL;1;2.434.681,39;834;0;1
4042361;1;1009270    CAS TECNOLOGIA S.A.;4600002704;30;WK;K;A12;;17/06/2024;404236;BLUETOOTH 4.0 DE COMUNICACAO DE  DADOS;17/09/2024;17/05/2026;MC25001;;;;CDFL;INVT;0;UN;0;UN;276,95;BRL;1;2.434.681,39;1.072;677;1
4042362;2;1009270    CAS TECNOLOGIA S.A.;4600002704;90;WK;K;A12;;17/06/2024;404236;BLUETOOTH 4.0 DE COMUNICACAO DE  DADOS;17/09/2024;17/05/2026;MC25001;;;;CDFL;INVT;0;UN;0;UN;276,95;BRL;1;2.434.681,39;90;0;1
4042821;1;1009270    CAS TECNOLOGIA S.A.;4600002704;60;WK;K;A12;;17/06/2024;404282;CABO RS2000 OPTICO CALIBRAVEL RS232;17/09/2024;17/05/2026;MC00201;;;;CDFL;INVT;0;KG;0;KG;162,56;BRL;1;2.434.681,39;478;0;1
4026001;1;1009016    DELL COMPUTADORES DO BRASIL LTDA;4600003433;20;WK;K;A12;;18/11/2025;402600;MONITOR 23,8 POL;18/11/2025;18/05/2026;MC01702;;;;CDFL;INVT;0;UN;0;UN;879,69;BRL;1;137.118,40;8;0;1
4045531;1;1009016    DELL COMPUTADORES DO BRASIL LTDA;4600003433;10;WK;K;A12;;18/11/2025;404553;TERMINAL DE COMPUTADOR SERVIDOR SAGE;18/11/2025;18/05/2026;MC01702;;;;CDFL;INVT;0;UN;0;UN;64.690,90;BRL;1;137.118,40;2;0;1
4070571;1;1009016    DELL COMPUTADORES DO BRASIL LTDA;4600003433;40;WK;K;A12;;18/11/2025;407057;TRILHO ORGANIZADOR CABOS/SERVIDOR;18/11/2025;18/05/2026;MC00901;;;;CDFL;INVT;0;UN;0;UN;131,78;BRL;1;137.118,40;2;0;1
4089901;1;1009016    DELL COMPUTADORES DO BRASIL LTDA;4600003433;30;WK;K;A12;;18/11/2025;408990;TRILHOS DESLIZANTES;18/11/2025;18/05/2026;MC01702;;;;CDFL;INVT;0;UN;0;UN;217,76;BRL;1;137.118,40;2;0;1
