CÓDIGO;DESCRIÇÃO;UDM;"LEAD 
TIME"
409620;REGULADOR TENSAO 1F 333KVA 7,96KV 438A;UN;60
404892;DISJ 3P 17,5KV 1.250A 25KA SION 3AE 1284;UN;60
403103;BUCHA CONDENSIVA POLIMERICA 138KV 1250A;CJ;60
409816;DISJ 3P 15KV 2000A 31,5KA 3AH3165-4;UN;60
409817;DISJ 3P 17,5KV 1250A 25KA 3AH5214-2;UN;60
405770;CAMERA TERMOGRAFICA TERMOVISOR -40-2000º;PEÇ;60
409945;SIST INVERSOR (N+1) C/ CHAVE ESTATICA;UN;60
403531;BANCO DE BATERIAS ESTAC 125VCC - 500AH;UN;60
409779;BANCO DE CAPACITOR 3F 15KV 600KVAR AUTOM;UN;60
409778;BANCO DE CAPACITOR 3F 15KV 300KVAR AUTOM;UN;60
402617;REGULADOR TENSAO 1F 167 KVA 7,96KV 219A;UN;60
404149;RETIFIC CHAVEAD 380VCA/3F/125VCC/160A;UN;60
409974;UNIDADE PROT DIFERENC LINHA RED 670;UN;60
402860;REGULADOR TENSAO 1F 250 KVA 7,62KV 328A;UN;60
409944;RETIFIC CHAVEAD 220VCA/3F/125VCC/150A;UN;60
402866;REGISTRADOR DIG PERT RPV-311 GE/REASON;UN;60
404535;REGULADOR TENSAO 1F 250 KVA 7,96KV 328A;UN;60
409885;RELÉ DE PROTEÇAO DIFERENCIAL;M2;60
402554;MEDIDOR/REGIST GRAND SIST ELET MT TRIF;UN;90
400051;TRAFO AER 3F 15KV 225KVA 220/127V 7TP;UN;90
406389;ANALISADOR DE BATERIA AVANCADO C/MOCHILA;UN;90
403409;RELIGADOR 3F AUTOMATICO 15KV 630A 12,5kA;UN;60
409374;"TRAFO CRTE 72,5KV; 50/100/200-5-5-; 0,3C";UN;60
804826;TRELIÇA METÁLICA P/ TORRE;UN;60
400243;TRAFO AER 3F 15KV 150KVA 220/127V 7TP;UN;90
402320;DISJUNTOR 3P 15KV 110KV 1250A 25KA;UN;60
404553;TERMINAL DE COMPUTADOR SERVIDOR SAGE;UN;90
403033;BANCO DE BATERIAS SELADA 48VCC 300AH;UN;60
410067;SWITCH RUDDECOM i803 FO LC  ETHERNET;PEÇ;60
401629;POSTE FIBRA VIDRO 33M 1000KGF;UN;60
409737;"CONJ MEDICAO 15KV; 70:1; 400-5A; USO EXT";UN;60
404171;"CONJ MEDICAO 15KV; 70:1; 300-5A; USO EXT";UN;60
404172;"CONJ MEDICAO 15KV; 70:1; 100-5A; USO EXT";UN;60
404160;"CONJ MEDICAO 15KV; 70:1; 10-5A; USO EXT";UN;60
404169;"CONJ MEDICAO 15KV; 70:1; 150-5A; USO EXT";UN;60
404161;"CONJ MEDICAO 15KV; 70:1; 15-5A; USO EXT";UN;60
404170;"CONJ MEDICAO 15KV; 70:1; 200-5A; USO EXT";UN;60
404162;"CONJ MEDICAO 15KV; 70:1; 20-5A; USO EXT";UN;60
404164;"CONJ MEDICAO 15KV; 70:1; 30-5A; USO EXT";UN;60
404166;"CONJ MEDICAO 15KV; 70:1; 50-5A; USO EXT";UN;60
404159;"CONJ MEDICAO 15KV; 70:1; 5-5A; USO EXT";UN;60
404168;"CONJ MEDICAO 15KV; 70:1; 60-5A; USO EXT";UN;60
404167;"CONJ MEDICAO 15KV; 70:1; 75-5A; USO EXT";UN;60
406361;"HIPOT TENSÃO ATÉ 60kV; CRTE TESTE 100mA";UN;60
404264;MODULOS MEDICAO 3 BUCHAS CAPACITIVAS;UN;60
400288;TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP;UN;90
403929;RELOGIO SINCRONIZACAO SATELITE GPS RT430;UN;60
402460;UNIDADE COMPUTACIONAL FANLESS P/ PAINEL;UN;60
404554;SWITCH ETHERNET;UN;60
401405;CHAVE SECC 3P 15KV 400A 12,5KA;UN;60
402670;BANCO DE CAPACITOR 3F 15KV 600KVAR FIXO;UN;60
401987;POSTE FIBRA VIDRO 22M 1000DAN;UN;60
410200; CONECTOR COMP TIPO H 95-95;UN;60
402627;RELIGADOR 1F AUTOMATICO 15KV 200A 4,2kA;UN;60
401004;RELIGADOR 1F AUTOMAT 7,96 KV 100A 6,3kA;UN;60
408949;ANALISADOR DE MEDIÇAO ADR 4000;UN;60
407130;RELIGADOR 1F AUTOMATICO 15KV 200A 6,3kA;UN;60
402607;TRAFO MEDIDA POT 69KV 69/V3KV/115/115/V3;UN;60
404203;TERMINAL SERVER 16 PORTAS TS1000 32MB;UN;90
403915;MEDIDOR CORRENTE REDE PRIMARIA;UN;90
407215;KIT SOBRESSALENTE PARA INVERSOR CC-CA;KG;60
402277;BANCO DE CAPACITOR 3F 15KV 300KVAR FIXO;UN;60
400073;TRAFO AER 3F 15KV 45KVA 220/127V 7TP;UN;90
401410;ALICATE HIDRAULICO CABEC 400MM2;PEÇ;60
400385;BANCO DE CAPACITOR 3F 15KV 150KVAR FIXO;UN;60
402092;BANCO DE CAPACITOR 3F 15KV 75KVAR FIXO;UN;60
404265;MODULO INTERFACE MONITORACAO 9 BUCHAS;UN;60
400028;SWITCH OPTICO RUGGEDCOM 19P RSG2100;UN;60
400436;CHAVE 1P 15KV 400A 12,5KA AUT VACUO 125K;UN;60
400227;POSTE FIBRA VIDRO E-CR 18M 600DAN;UN;60
401324;TRAFO AER 3F 15KV 30KVA 220/127V 7TP;UN;90
410029;REPETIDORA SLR5100 VHF;UN;60
406631;TERROMETRO DIGITAL EM4058;UN;60
404468;CAPACITOR MONOPOLAR 700KVAR 8,66KV;UN;60
402132;TRAFO AER 1F 15KV 25KVA 240/120V 7TP;UN;90
403868;SWITCH LAYER 3 GER 8P 10/100/1000MBPS;UN;60
404284;CONVERSOR 4 PORT. 10/100M+2 FIBRA;UN;60
404894;ANTENA COLINEAR 8EL 160/174MHZ ARS 13DBI;UN;60
