Divisão da remessa;Tipo doc.compras;Ctg.doc.compras;Grupo de compradores;Histórico pedido/docum.SolRem.;Data do documento;Material;Texto breve;Grupo de mercadorias;Código de eliminação;Categoria do item;Ctg.class.cont.;Centro;Depósito;Qtd.pedido;UM pedido;Preço líquido;Moeda;Unidade preço;Qtd.divisão;Data de remessa;Hora;Dat.rem.estatística;Quantidade anterior;Qtd.entrada;Quantidade saída;Qtd.fornecida;Requisição de compra;Item ReqC;Código de criação;Núm.itens;Contrato básico;a ser fornecido (valor;a ser fornecida (quantidade);Ãinda a faturar (quantidade);Ainda a faturar (valor);Categoria do item;Código de controle;Código de imposto;Código de liberação;Ctg.externa hierarquia;Den.característica 1;Denominação da característica 1;Denominação da característica 2;Denominação da característica 2;Denominação da característica 3;Denominação da característica 3;Dep.saída (do estq.);Documento de compras;Domicílio fiscal;Estado de liberação;Estrat.de liberação;Fim da validade;Fornecedor/centro fornecedor;Grupo de liberação;Grupo PSST;Histórico do consumo de componentes;Incompleto;Início per.validade;It.contrato superior;Item;Nº acompanhamento;Número da hierarquia;Número de documento configurável;Nº externo ordenação;Nº pacote;Nome de fornecedor;Organização compras;PriorNeces.;Prz.apresent.cotação;Qtd.na UnidGestEstoq;Qtd.notificada;Qtd.prev.pendente;Qtd.solicit.anterior;Quantidade prevista;Reg. info compras;Regra de agrupamento PSST;RFQ coletiva;Segmento de estoque;Segmento necessidade;Origem;Unid.prç.pedido;Unidade manutenção estoque;Urgência necessidade;ValFix.(cabeç.);Valor global pendente;Valor líquido pedido;Valor pendente;Valor solicitado
1;NB;F;A03;;29/01/2026;402307;CONECTOR PERF AL 25-185MM2 / 1,5-35MM2;MC12002;;;;CDFL;INVT;29.450;UN;61,60;BRL;1;29.450;29/04/2026;00:00:00;29/04/2026;0;0;0;0;10100687;10;R;1;4600003047;1.814.214,24;29.450;29.450;1.814.214,24;0;;C1;G;;;;;;;;;4500144903;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;20;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;29.450;0;0;0;0;5300024416;;;;;;UN;UN;0;0,00;0,00;1.814.214,24;0,00;0,00
1;NB;F;A03;;29/01/2026;801240;CONECTOR PERF AL 25-185MM2 / 1,5-35MM2;MC12002;;;;CDFL;CUST;3.000;UN;61,60;BRL;1;3.000;29/04/2026;00:00:00;29/04/2026;0;0;0;0;10100687;30;R;1;4600003047;184.809,60;3.000;3.000;184.809,60;0;;C1;G;;;;;;;;;4500144903;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;30;20;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;3.000;0;0;0;0;5300024883;;;;;;UN;UN;0;0,00;0,00;184.809,60;0,00;0,00
1;NB;F;A12;;10/02/2026;401834;CONECTOR PARAL AL 10AWG-1/0AWG;MC10301;;;;CDFL;INVT;2.230;UN;9,64;BRL;1;2.230;27/04/2026;00:00:00;27/04/2026;0;0;0;0;10102526;40;R;1;4600003113;21.506,34;2.230;2.230;21.506,34;0;;C1;G;;;;;;;;;4500145746;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;10;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;2.230;0;0;0;0;5300027064;;;;;;UN;UN;0;0,00;0,00;21.506,34;0,00;0,00
1;NB;F;A12;;10/02/2026;801373;CONECTOR PARAL AL 10AWG-1/0AWG;MC10301;;;;CDFL;CUST;2.780;UN;9,64;BRL;1;2.780;27/04/2026;00:00:00;27/04/2026;0;0;0;0;10102526;20;R;1;4600003113;26.810,60;2.780;2.780;26.810,60;0;;C1;G;;;;;;;;;4500145746;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;20;20;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;2.780;0;0;0;0;5300000005;;;;;;UN;UN;0;0,00;0,00;26.810,60;0,00;0,00
1;NB;F;GAE;;20/03/2026;800717;GRAMPO LV OLHAL 18MM 10-120/10-70MM2;MC12002;;;;CDFL;CUST;997;UN;59,96;BRL;1;997;08/05/2026;00:00:00;08/05/2026;0;0;0;0;10128118;10;R;1;4600003556;59.777,23;997;997;59.777,23;0;;C1;G;;;;;;;;;4500150061;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;10;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;997;0;0;0;0;5300017022;;;;;;UN;UN;0;0,00;0,00;59.777,23;0,00;0,00
1;NB;F;A12;;24/03/2026;400512;CONECTOR DER CUNHA AL 1/0AWG 336,4MCM;MC12002;;;;CDFL;INVT;352;UN;32,35;BRL;1;352;23/05/2026;00:00:00;23/05/2026;0;0;0;0;10130290;10;R;1;4600003529;11.385,58;352;352;11.385,58;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;10;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;352;0;0;0;0;5300032209;;;;;;UN;UN;0;0,00;0,00;11.385,58;0,00;0,00
1;NB;F;A12;;24/03/2026;401034;CONECTOR DER CUNH AZ AL 4/0 2/0 336,4MCM;MC12002;;;;CDFL;INVT;1.327;UN;10,76;BRL;1;1.327;23/05/2026;00:00:00;23/05/2026;0;0;0;0;10130290;20;R;1;4600003529;14.278,65;1.327;1.327;14.278,65;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;20;20;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;1.327;0;0;0;0;5300017626;;;;;;UN;UN;0;0,00;0,00;14.278,65;0,00;0,00
1;NB;F;A12;;24/03/2026;402185;CONECTOR DER CUNHA ESTRIBO 336,4 MCM;MC12002;;;;CDFL;INVT;47;UN;28,81;BRL;1;47;23/05/2026;00:00:00;23/05/2026;0;0;0;0;10130290;30;R;1;4600003529;1.354,14;47;47;1.354,14;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;30;30;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;47;0;0;0;0;5300032210;;;;;;UN;UN;0;0,00;0,00;1.354,14;0,00;0,00
1;NB;F;A12;;24/03/2026;800813;CONECTOR DER CUNH AZ AL 2/0 4/0 336,4MCM;MC12002;;;;CDFL;CUST;549;UN;10,76;BRL;1;549;23/05/2026;00:00:00;23/05/2026;0;0;0;0;10130290;40;R;1;4600003529;5.907,29;549;549;5.907,29;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;40;40;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;549;0;0;0;0;5300017629;;;;;;UN;UN;0;0,00;0,00;5.907,29;0,00;0,00
1;NB;F;A12;;24/03/2026;800557;CONECTOR DER CUNHA ESTRIBO 336,4 MCM;MC12002;;;;CDFL;CUST;6;UN;28,81;BRL;1;6;23/05/2026;00:00:00;23/05/2026;0;0;0;0;10130290;50;R;1;4600003529;172,87;6;6;172,87;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;50;50;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;6;0;0;0;0;5300032211;;;;;;UN;UN;0;0,00;0,00;172,87;0,00;0,00
1;NB;F;A01;;25/03/2026;401566;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;INVT;3.000;UN;9,20;BRL;1;3.000;25/05/2026;00:00:00;25/05/2026;0;0;0;0;10130232;10;R;1;4600003516;27.593,10;3.000;3.000;27.593,10;0;;C1;G;;;;;;;;;4500150184;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;10;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;3.000;0;0;0;0;5300001040;;;;;;UN;UN;0;0,00;0,00;27.593,10;0,00;0,00
1;NB;F;A01;;25/03/2026;800889;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;CUST;1.300;UN;9,20;BRL;1;1.300;25/05/2026;00:00:00;25/05/2026;0;0;0;0;10130232;20;R;1;4600003516;11.957,01;1.300;1.300;11.957,01;0;;C1;G;;;;;;;;;4500150184;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;20;20;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;1.300;0;0;0;0;5300000006;;;;;;UN;UN;0;0,00;0,00;11.957,01;0,00;0,00
1;NB;F;A01;;25/03/2026;410200; CONECTOR COMP TIPO H 95-95;MC12002;;;;CDFL;INVT;6.000;UN;4,22;BRL;1;6.000;25/05/2026;00:00:00;25/05/2026;0;0;0;0;10132598;10;R;1;4600003516;25.333,20;6.000;6.000;25.333,20;0;;C1;G;;;;;;;;;4500150197;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;30;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;6.000;0;0;0;0;5300032219;;;;;;UN;UN;0;0,00;0,00;25.333,20;0,00;0,00
