Nome Demanda	PROJETO	DEPÓSITO	DEPARTAMENTO	CÓDIGO	Descrição	UNID	MÊS	Qtd	MES	SEMANA	OBSERVAÇÃO	ESPECÍFICO?
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/01/2026	4	1	jan/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/02/2026	4	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/03/2026	4	3	out/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/04/2026	4	4	14/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/05/2026	4	5	18/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/06/2026	4	6	23/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/07/2026	6	7	27/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/08/2026	6	8	31/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/09/2026	6	9	36/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/10/2026	6	10	40/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/11/2026	0	11	45/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400011	SUPORTE TRANSF POSTE DUP T AC 210X115MM	UN	01/12/2026	0	12	49/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/01/2026	4	1	jan/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/02/2026	4	2	jun/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/03/2026	4	3	out/26		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/04/2026	4	4	14/2026		-
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/05/2026	4	5	18/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/06/2026	4	6	23/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/07/2026	6	7	27/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/08/2026	6	8	31/2026		
1. Coleta de demanda de Materiais 2026  -  DTM - REV.05 - 31.12.25	A08_MANUT_REDMAN	INVESTIMENTO	DTM	400030	SUPORTE AUXILIAR P/BRACO TIPO C	UN	01/09/2026	6	9	36/2026		
