Tipo de depósito	Posição no depósito	Produto	Descrição breve do produto	UM básica	Qtd.disponível UMB	Tipo de estoque	Denominação do tipo de estoque	Preço do material	Valor total
GA01	1G-01-01A	400744	CABO ELETRICO CU NU 25MM2	KG	65	L2	Utilização livre depósito INVT	30,36	1973,4
GA01	1G-01-01A	800027	CABO ELET NU CU 50MM2 19/1,889MM	KG	735	F3	Utilização livre depósito CUST	34,39	25276,65
GA01	1G-01-01B	110893	CABO FLEX 16MM 450/750V PT	UN	300	F3	Utilização livre depósito CUST	0,01	3
GA01	1G-01-01B	404621	CABO ELET SING FLEX 0,75/1KV 2,5MM2 VM	M	300	L2	Utilização livre depósito INVT	1,94	582
GA01	1G-01-01B	800148	CABO ELET FLEX 1X1,5MM2 CU TEMP MOLE	M	1000	F3	Utilização livre depósito CUST	0,84	840
GA01	1G-01-01B	803159	CABO ELET ISOL 1X1,5MM2 CU VD 750V	M	26	F3	Utilização livre depósito CUST	0,56	14,56
GA01	1G-01-01C	400712	CABO DE FORCA 1X25MM2 0,6/1KV SBE	M	200	L2	Utilização livre depósito INVT	16,27	3254
GA01	1G-01-01C	401428	CABO DE FORCA 1X10MM2 0,6/1KV SBE	M	200	L2	Utilização livre depósito INVT	6,99	1398
GA01	1G-01-01C	404292	CABO OPTICO 62,5/125 MICRONS ANTI-ROEDOR	UN	1000	L2	Utilização livre depósito INVT	17,76	17760
GA01	1G-01-01C	805374	CABO COAXIAL RGC213 RIGIDO	M	300	F3	Utilização livre depósito CUST	19,9	5970
GA01	1G-01-01D	400832	CABO ELET BT 3X10MM2 0,6/1 KV	M	30	L2	Utilização livre depósito INVT	25,8	774
GA01	1G-01-01D	402395	CABO ELET CONT 12X1,5MM2 600/1000V	M	377	L2	Utilização livre depósito INVT	5,11	1926,47
GA01	1G-01-01D	403592	CABO OPTICO AUTOSUST 12F MONOMODO	UN	236	L2	Utilização livre depósito INVT	4,77	1125,72
GA01	1G-01-01D	403840	CABO OPTICO AUTOSUST 24F MONOMODO	UN	344	L2	Utilização livre depósito INVT	4,32	1486,08
GA01	1G-01-02A	400822	CABO ELET NU 1X35MM21AWG CU	KG	512	L2	Utilização livre depósito INVT	31,23	15989,76
GA01	1G-01-02A	800141	CABO ELET NU 1X35MM21AWG CU	KG	203	F3	Utilização livre depósito CUST	31,23	6339,69
GA01	1G-01-02B	402303	CABO  MULT 2X10+1X10 MM² XLPE 0,6/1 KV	M	335	L2	Utilização livre depósito INVT	3,19	1068,65
GA01	1G-01-02B	402381	CABO ELET FLEX PVC 6MM AZ	M	600	L2	Utilização livre depósito INVT	4,43	2658
GA01	1G-01-02B	402397	CABO ELET NU CA 1/0AWG 53,5 MM2 POPPY	KG	35	L2	Utilização livre depósito INVT	27,35	957,25
GA01	1G-01-02B	409002	CABO FLEXIVEL 0.75MM 750V VM	M	200	L2	Utilização livre depósito INVT	0,81	162
GA01	1G-01-02B	409003	CABO FLEXIVEL 0.75MM 750V AZ	M	200	L2	Utilização livre depósito INVT	0,81	162
GA01	1G-01-02B	801006	CABO ELET ISOL 4MM2 PVC 750V	M	100	F3	Utilização livre depósito CUST	1,48	148
GA01	1G-01-02C	400433	CABO ELETR 750V CU PVC 35MM2 AZUL BT	M	45	L2	Utilização livre depósito INVT	30,5	1372,5
GA01	1G-01-02C	400723	CABO ELET CU 4X4MM2 0,6/1KV BT	M	36	L2	Utilização livre depósito INVT	29,35	1056,6
GA01	1G-01-02C	400760	CABO DE FORCA 1X16MM2 0,6/1KV SBE	M	200	L2	Utilização livre depósito INVT	13,81	2762
GA01	1G-01-02C	401806	CABO COMANDO/CONTR 6X2,5MM2 0,6/1KV SBE	M	70	L2	Utilização livre depósito INVT	32,23	2256,1
GA01	1G-01-02C	402352	CABO ELET CU 1X6MM2 0,6/1KV - SUBESTACAO	M	3284	L2	Utilização livre depósito INVT	4,41	14482,44
GA01	1G-01-02D	400358	CABO COMANDO/CONTROLE 4X10MM2	M	79	L2	Utilização livre depósito INVT	18,87	1490,73
GA01	1G-01-02D	404832	CABO ELET 15KV AL PROT XLPE 150MM2 6F MT	M	122	L2	Utilização livre depósito INVT	6,54	797,88
GA01	1G-01-02D	800985	CABO ELET FLEX 3X16MM2 CU TEMP MOLE	M	70	F3	Utilização livre depósito CUST	20,03	1402,1
GA01	1G-01-02E	401383	COBERTURA PROT PLASTI 2AWG PT	M	235	L2	Utilização livre depósito INVT	2,36	554,6
GA01	1G-01-02E	801653	METROS FIBRA MONOMODO SM	UN	838	F3	Utilização livre depósito CUST	2,99	2505,62
GA01	1G-01-03B	800026	CABO ELET FLEXIVEL PVC 750V 2,5MM2 VM	M	400	F3	Utilização livre depósito CUST	1,2	480
GA01	1G-01-03B	801157	CABO ELET FLEXIVEL PVC 750V 2,5MM2 PT	M	250	F3	Utilização livre depósito CUST	1,41	352,5
GA01	1G-01-03B	801274	CABO ELET ISOL CU PT 8AWG PVC 750V	M	528	F3	Utilização livre depósito CUST	4,89	2581,92
GA01	1G-01-03D	400695	CABO ELETR 0,6/1KV CU FLEX 3X16MM2 BT	M	188	L2	Utilização livre depósito INVT	24,25	4559
GA01	1G-01-03D	404042	CABO ELETRICO BT 2X16MM2 0,6/1KV	M	16	L2	Utilização livre depósito INVT	23,76	380,16
GA01	1G-01-03D	404043	CABO ELETRICO BT 4X10MM2 0,6/1KV	M	62	L2	Utilização livre depósito INVT	43,86	2719,32
GA01	1G-01-03E	400813	CABO ELETRICO ISOLADO SINGELO 6MM2	M	20000	L2	Utilização livre depósito INVT	1,75	35000
GA01	1G-01-04B	401548	CABO ELET AL TRIP 2X35+1X35 MM2 0,6/1KV	M	29	L2	Utilização livre depósito INVT	7,2	208,8
GA01	1G-01-04B	403716	CORDOALHA AC 7,94MM 5/16P 7F (EHS)	KG	23	L2	Utilização livre depósito INVT	14,39	330,97
GA01	1G-01-04B	803160	CABO ELET NU CU 95MM2 MEIO DURO	KG	2	F3	Utilização livre depósito CUST	0,26	0,52
GA01	1G-01-04C	400822	CABO ELET NU 1X35MM21AWG CU	KG	235	L2	Utilização livre depósito INVT	31,23	7339,05
GA01	1G-01-04C	401501	CABO CU ISOL  2,5MM2 COR VD 1KV ENCORD 2	M	250	L2	Utilização livre depósito INVT	2,16	540
GA01	1G-01-04D	400670	CABO ELET ISOL SING 1.5MM2 PT	M	21	L2	Utilização livre depósito INVT	0,56	11,76
GA01	1G-01-04D	400718	CABO ELETR 750V CU SING PVC 1,5MM2 AZUL	M	227	L2	Utilização livre depósito INVT	0,56	127,12
GA01	1G-01-04D	403194	CABO ELET SING FLEX 0,75/1KV 2,5MM2 AM	M	5	L2	Utilização livre depósito INVT	1,64	8,2
GA01	1G-01-04D	800129	CABO ELETR 0,6/1KV CU PVC 25MM2 BT	M	230	F3	Utilização livre depósito CUST	3,78	869,4
GA01	1G-01-04D	800429	CABO CU SING 2,5MM2 VD 0,6/1KV ANTI-CHAM	M	402	F3	Utilização livre depósito CUST	1,29	518,58
GA01	1G-01-04E	400813	CABO ELETRICO ISOLADO SINGELO 6MM2	M	20000	L2	Utilização livre depósito INVT	1,75	35000
GA01	1G-01-05A	407971	CABO DE COBRE NU 150MM² MEIO-DURO	M	39	L2	Utilização livre depósito INVT	127,08	4956,12
GA01	1G-01-05B	400813	CABO ELETRICO ISOLADO SINGELO 6MM2	M	4495	L2	Utilização livre depósito INVT	1,75	7866,25
GA01	1G-01-05B	800158	CABO ELETRICO ISOLADO SINGELO 6MM2	M	21442	F3	Utilização livre depósito CUST	1,74	37309,08
GA01	1G-01-05C	401806	CABO COMANDO/CONTR 6X2,5MM2 0,6/1KV SBE	M	700	L2	Utilização livre depósito INVT	32,23	22561
GA01	1G-01-05D	803152	CABO ELET FLEX 3X2,5MM2 CU TEMP MOLE	M	798	F3	Utilização livre depósito CUST	2,63	2098,74
GA01	1G-01-06A	401531	CABO ELET ISOL PVC PT 10MM2 0,6/1KV	M	36	L2	Utilização livre depósito INVT	8,7	313,2
GA01	1G-01-06A	800426	CABO ELET BT 70MM2 CU PVC PT 0,6/1KV	M	51	F3	Utilização livre depósito CUST	56,98	2905,98
GA01	1G-01-06A	800763	CABO ELET ISOL PVC PT 10MM2 0,6/1KV	M	936	F3	Utilização livre depósito CUST	8,67	8115,12
GA01	1G-01-06B	402136	CABO ELET FLEXIVEL PVC 750V 2,5MM2 VD	M	161	L2	Utilização livre depósito INVT	1,96	315,56
GA01	1G-01-06B	402310	CABO ELET ISOL VM 2,5MM2	M	1354	L2	Utilização livre depósito INVT	0,72	974,88
GA01	1G-01-06B	404186	CABO ELET FLEX TEMP MOLE 1X4MM2 CU 750V	M	6414	L2	Utilização livre depósito INVT	2,58	16548,12
GA01	1G-01-06C	800141	CABO ELET NU 1X35MM21AWG CU	KG	453,5	F3	Utilização livre depósito CUST	31,23	14162,81
GA01	1G-01-06C	801013	CABO ELET FLEX 4X1,5MM2 0,6/1KV	M	2164	F3	Utilização livre depósito CUST	1,93	4176,52
GA01	1G-01-06D	404044	CABO ELET CU EPR 4X16MM2 0,6/1KV BT	M	92	L2	Utilização livre depósito INVT	62,78	5775,76
GA01	1G-01-06D	801829	FIO TELEFONICO FDG 2 COND CU EST 0,50MM2	M	2313	F3	Utilização livre depósito CUST	0,49	1133,37
GA01	1G-01-06D	802385	CABO TELEFONICO CCI 6P TERMOPLAS	UN	1317	F3	Utilização livre depósito CUST	1,19	1567,23
GA01	1G-01-06D	802396	CABO TELEFONICO CCI 4P TERMOPLAS	UN	436	F3	Utilização livre depósito CUST	0,79	344,44
GA01	1G-02-01A	403323	CABO ELET FLEX 2X1,5MM2 0,6/1KV	M	87	L2	Utilização livre depósito INVT	3,07	267,09
GA01	1G-02-01A	403840	CABO OPTICO AUTOSUST 24F MONOMODO	UN	6121	L2	Utilização livre depósito INVT	4,32	26442,72
GA01	1G-02-01A	800810	CABO ELET 15KV AL PROT XLPE 120MM2 1F MT	M	202	F3	Utilização livre depósito CUST	12,42	2508,84
GA01	1G-02-01B	801263	CABO  MULT 1X10+1X10MM² XLPE 0,6/1 KV	M	7200	F3	Utilização livre depósito CUST	1,74	12528
GA01	1G-02-01C	401981	CABO  MULT 1X10+1X10MM² XLPE 0,6/1 KV	M	2150	L2	Utilização livre depósito INVT	1,79	3848,5
GA01	1G-02-01D	401981	CABO  MULT 1X10+1X10MM² XLPE 0,6/1 KV	M	8400	L2	Utilização livre depósito INVT	1,79	15036
GA01	1G-02-02A	403840	CABO OPTICO AUTOSUST 24F MONOMODO	UN	4214	L2	Utilização livre depósito INVT	4,32	18204,48
GA01	1G-02-02B	800174	CABO ELET CU PVC 1X10MM2 7FIOS 750V	M	63	F3	Utilização livre depósito CUST	8,67	546,21
GA01	1G-02-02B	803800	CABO ELET FLEX 2X1,5MM2 0,6/1KV	M	1259	F3	Utilização livre depósito CUST	3,11	3915,49
GA01	1G-02-02C	801341	CABO ELETR 0,6/1KV CU PVC 16MM2 BT	M	819	F3	Utilização livre depósito CUST	6,19	5069,61
GA01	1G-02-02D	404418	CABO MANGA 4V P/ REFLETOR LED 10M	M	1890	L2	Utilização livre depósito INVT	3,15	5953,5
GA01	1G-02-03A	403592	CABO OPTICO AUTOSUST 12F MONOMODO	UN	3700	L2	Utilização livre depósito INVT	4,77	17649
GA01	1G-02-03B	403840	CABO OPTICO AUTOSUST 24F MONOMODO	UN	653	L2	Utilização livre depósito INVT	4,32	2820,96
GA01	1G-02-04A	802276	CABO OPTICO AUTOSUST 12F MONOMODO	UN	1678	F3	Utilização livre depósito CUST	4,77	8004,06
GA01	1G-02-04B	800803	CABO FIBRA OTIC MULTIM 4F 625	M	4029	F3	Utilização livre depósito CUST	2,59	10435,11
GA01	1G-02-04D	402757	FIBRA OPTICA MM 12F LAN OM4 10GB IN/OUT	UN	1616	L2	Utilização livre depósito INVT	45,73	73899,68
GA01	1G-02-04E	401826	CABO ELET MT 1X35MM2 EPR 8,7/15KV	M	166	L2	Utilização livre depósito INVT	98,58	16364,28
GA01	1G-02-05B	400316	CABO ELETR 0,6/1KV CU PVC 16MM2 BT	M	758	L2	Utilização livre depósito INVT	18,84	14280,72
GA01	1G-02-05B	402083	CABO ELET FLEX CU 1X2,5MM2	M	734	L2	Utilização livre depósito INVT	1,25	917,5
GA01	1G-02-05B	407737	CABO ELET FLEXIVEL PVC 750V 2,5MM2 CZ	M	13	L2	Utilização livre depósito INVT	0,97	12,61
GA01	1G-02-05C	405486	FIO AL COB XLPE 1X 10,00MM2 MOLE AMARRA	M	10183	L2	Utilização livre depósito INVT	4,99	50813,17
GA01	1G-02-05D	401817	CABO ELET CU 4X6MM2 0,6/1KV SBE	M	237	L2	Utilização livre depósito INVT	37,74	8944,38
GA01	1G-02-05D	405486	FIO AL COB XLPE 1X 10,00MM2 MOLE AMARRA	M	4000	L2	Utilização livre depósito INVT	4,99	19960
GA01	1G-02-06B	400458	CABO ELETR 1KV CU PVC 20X1,5MM2 CONTROLE	M	164	L2	Utilização livre depósito INVT	21,09	3458,76
GA01	1G-02-06B	400709	CABO ELET CU 4X1,5MM2 0,6/1KV SBE	M	29	L2	Utilização livre depósito INVT	2,82	81,78
GA01	1G-02-06B	401411	CABO ELET CU ISOL PVC 2X4MM2	M	33	L2	Utilização livre depósito INVT	6,02	198,66
GA01	1G-02-06B	402226	CABO ELET MT 1X35MM2 8,7/15KV	M	46	L2	Utilização livre depósito INVT	4,66	214,36
GA01	1G-02-06C	405486	FIO AL COB XLPE 1X 10,00MM2 MOLE AMARRA	M	8000	L2	Utilização livre depósito INVT	4,99	39920
GA01	1G-02-06D	400325	CABO COMANDO/CONTR 2X6MM2 0,6/1KV SBE	M	140	L2	Utilização livre depósito INVT	15,95	2233
GA01	1G-02-06D	401543	CABO COMANDO/CONTR 20X1,5MM2 0,6/1KV SBE	M	46	L2	Utilização livre depósito INVT	28,51	1311,46
GA01	1G-02-06D	402350	CABO COMANDO/CONTR 4X4MM2 0,6/1KV SBE	M	104	L2	Utilização livre depósito INVT	14,26	1483,04
GA01	1G-02-06E	403592	CABO OPTICO AUTOSUST 12F MONOMODO	UN	4000	L2	Utilização livre depósito INVT	4,77	19080
GA01	1G-02-06E	403840	CABO OPTICO AUTOSUST 24F MONOMODO	UN	4020	L2	Utilização livre depósito INVT	4,32	17366,4
GA01	1G-03-01C	800048	CABO ELET ISOL SING 1.5MM2 VERMELHA	M	152	F3	Utilização livre depósito CUST	0,56	85,12
GA01	1G-03-01E	402187	FIO ELETRICO CU ISOL 1,5MM2 750V	M	43200	L2	Utilização livre depósito INVT	0,25	10800
GA01	1G-04-01A	402152	CABO ELET CU 95MM2 90°XLPE 0,6/1KV	M	8	L2	Utilização livre depósito INVT	63,74	509,92
GA01	1G-04-01A	403693	CABO CONCENTRICO CU 3X35+35MM	M	1281	L2	Utilização livre depósito INVT	184,23	235998,63
GA01	1G-04-01A	404010	CABO AL CONCENTRICO 3F 3X95+50MM2	M	3725	L2	Utilização livre depósito INVT	100,36	373841
GA01	1G-04-01A	800021	CABO ELET CU 95MM2 90°XLPE 0,6/1KV	M	1432	F3	Utilização livre depósito CUST	67,31	96387,92
GA01	1G-04-01A	803907	CABO DE AÇO REVESTIDOS DE COBRE 35MM²	KG	3411	F3	Utilização livre depósito CUST	95,69	326398,59
GA01	1G-04-02A	400443	CABO  MULT 2X25+1X25MM² XLPE 0,6/1 KV	M	2068	L2	Utilização livre depósito INVT	6,41	13255,88
GA01	1G-04-02A	400694	CABO ELETR 0,6/1KV CU PVC 25MM2 BT	M	2488	L2	Utilização livre depósito INVT	6	14928
GA01	1G-04-02A	401543	CABO COMANDO/CONTR 20X1,5MM2 0,6/1KV SBE	M	295	L2	Utilização livre depósito INVT	28,51	8410,45
GA01	1G-04-02A	401544	CABO ELET FLEX 2X6MM2 0,6/1KV	M	308	L2	Utilização livre depósito INVT	8,59	2645,72
GA01	1G-04-02A	401826	CABO ELET MT 1X35MM2 EPR 8,7/15KV	M	1760	L2	Utilização livre depósito INVT	98,58	173500,8
GA01	1G-04-02A	401908	CABO ELET NU CA 336,4MCM 170MM2 TULIP	KG	92	L2	Utilização livre depósito INVT	18,37	1690,04
GA01	1G-04-02A	402070	CABO ELET CONT 15X1,5MM2 1KV 19F	M	374	L2	Utilização livre depósito INVT	4,85	1813,9
GA01	1G-04-02A	402072	CABO COMANDO/CONTR 8X1,5MM2 0,6/1KV SBE	M	1200	L2	Utilização livre depósito INVT	20,72	24864
GA01	1G-04-02A	402081	CABO ELET CU 120MM2 90°XLPE 0,6/1KV	M	2726	L2	Utilização livre depósito INVT	97,36	265403,36
GA01	1G-04-02A	402248	CABO ELET MULTIP AUTOS 3X240MM2+120MM2	M	190	L2	Utilização livre depósito INVT	53,26	10119,4
GA01	1G-04-02A	402396	CABO AL NU C/ALMA ACO 4AWG	KG	119	L2	Utilização livre depósito INVT	16,99	2021,81
GA01	1G-04-02A	402654	CABO ACO ZINCADO 3X2,25MM 1430DAN	KG	1264	L2	Utilização livre depósito INVT	17,48	22094,72
GA01	1G-04-02A	403204	CABO COMANDO/CONTR 7X2,5MM2 0,6/1KV SBE	M	1662	L2	Utilização livre depósito INVT	2,77	4603,74
GA01	1G-04-02A	403353	CABO ELET CU 150MM2 90°XLPE 0,6/1KV	M	3078	L2	Utilização livre depósito INVT	120,17	369883,26
GA01	1G-04-02A	403487	CABO ELET MULTIP AUTOS 3X1X35+1X70MM2	M	348	L2	Utilização livre depósito INVT	5,92	2060,16
GA01	1G-04-02A	403823	CABO CONCENTRICO CU 3X25+25MM	M	1020	L2	Utilização livre depósito INVT	106,06	108181,2
GA01	1G-04-02A	403826	CABO CU CONCENTRICO 1F 1X16+16MM2	M	1000	L2	Utilização livre depósito INVT	31,98	31980
GA01	1G-04-02A	403870	CABO EL 15KV AL PROT XLPE 170,5MM2 1F MT	UN	481	L2	Utilização livre depósito INVT	6,93	3333,33
GA01	1G-04-02A	404832	CABO ELET 15KV AL PROT XLPE 150MM2 6F MT	M	662	L2	Utilização livre depósito INVT	6,54	4329,48
GA01	1G-04-02A	800059	CABO ELET NU CA 336,4MCM 170MM2 TULIP	KG	489	F3	Utilização livre depósito CUST	24,44	11951,16
GA01	1G-04-02A	800426	CABO ELET BT 70MM2 CU PVC PT 0,6/1KV	M	52	F3	Utilização livre depósito CUST	56,98	2962,96
