Centro;Pedido;Ordem;Texto cabeçalho documento;Item;Nº reserva;Nº item reserva transferência;Material;Texto breve material;Tipo de movimento;Txt.tipo movimento;Referência;Fornecedor;Doc.material;Item doc.material;Data do documento;Data de lançamento;Data de entrada;Hora do registro;Quantidade;Montante em MI;Depósito;Centro financeiro;Nome do usuário;CAMPO TEXTO DESC.;CAMPO AUTOR DESC.;Operação;Elemento PEP;Imobilizado;Conta do Razão;Classificação contábil múltipla;Estoque especial;Qtd.  UM registro;UM registro;Nome 1;Subnº;Nº roteiro operações;Qtd.em UPP;Qtd.em UM pedido;Empresa;Tipo de avaliação;Lote;Número de documento configurável;Montante externo em MI;Valor de venda;Motivo do movimento;Ordem do cliente;Divisão ord.cliente;Item ord.cliente;Centro custo;Cliente;Código de movimento;Consumo;Código entrada;Ordem do cliente;Item ord.cliente;UM básica;Ano doc.material;Diagrama de rede;Segmento de estoque;Cód.débito/crédito;Tp.transação/evento;Valor PV com IVA;Moeda;Nota acomp.mercadoria;Item gerado automaticamente;Linha original;Contador;Unid.prç.pedido;UM pedido;CAMPO VALOR ICMS;CAMPO VALOR DIFAL;Documento do depósito;Nº do depósito
CDFL;4500145134;;;10;0;0;110418;DISCO CORTE ACO 7P;101;EM Entrada mercador.;0180034873;1003818;5000252052;1;06/02/2026;20/02/2026;20/02/2026;11:08:22;100;527,00;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;100;UN;CDFL - CD FLORES;;0;100;100;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;UN;2026;;;S;WE;0,00;BRL;;;0;0;UN;UN;0,00;0,00;;
CDFL;4500141530;;;10;0;0;113917;VENTILADOR INDUSTRIAL GALPAO;101;EM Entrada mercador.;0180034168;1008610;5000243745;1;17/12/2025;19/12/2025;19/12/2025;11:10:45;4;4.815,04;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;4;UN;CDFL - CD FLORES;;0;4;4;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;UN;2025;;;S;WE;0,00;BRL;;;0;0;UN;UN;0,00;0,00;;
CDFL;4500138731;;;10;0;0;114174;CALCADO DE SEGUR ISOL TIPO TENIS TAM 43;101;EM Entrada mercador.;0180034029;1003818;5000240976;1;02/12/2025;11/12/2025;11/12/2025;08:58:07;1;216,24;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;1;UN;CDFL - CD FLORES;;0;1;1;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;UN;2025;;;S;WE;0,00;BRL;;;0;0;UN;UN;43,25;0,00;;
CDFL;4500147553;;;10;0;0;114242;"""DISCO CORTE P/ FERRO 7""""X1,6 X PC 50,00";101;EM Entrada mercador.;0180035106;1003818;5000254394;1;24/02/2026;09/03/2026;09/03/2026;08:30:56;50;263,50;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;50;UN;CDFL - CD FLORES;;0;50;50;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;UN;2026;;;S;WE;0,00;BRL;;;0;0;UN;UN;0,00;0,00;;
CDFL;4500140129;;;10;0;0;120007;LUVA COBERTURA VAQ 345MM;101;EM Entrada mercador.;0180034169;1027129;5000243746;1;15/12/2025;19/12/2025;19/12/2025;11:15:25;30;977,10;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;30;PAR;CDFL - CD FLORES;;0;30;30;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;PAR;2025;;;S;WE;0,00;BRL;;;0;0;PAR;PAR;195,42;0,00;;
CDFL;4500141920;;;10;0;0;120068;OCULOS SEG VISOR 100 PC S/ARM ANT INC;101;EM Entrada mercador.;0180034322;1003818;5000244329;1;23/12/2025;30/12/2025;30/12/2025;14:57:09;36;303,13;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;36;UN;CDFL - CD FLORES;;0;36;36;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;UN;2025;;;S;WE;0,00;BRL;;;0;0;UN;UN;60,62;0,00;;
CDFL;4500128795;;;90;0;0;120141;CALCA RESIST ARCO ELET/CHAMA 44;101;EM Entrada mercador.;0180033928;1011140;5000239306;9;21/11/2025;02/12/2025;02/12/2025;14:38:04;50;7.943,49;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;50;UN;CDFL - CD FLORES;;0;50;50;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;UN;2025;;;S;WE;0,00;BRL;;;0;0;UN;UN;876,12;642,49;;
CDFL;4500130518;;;10;0;0;120175;CINTO SEG PARA-QUEDISTA TAM 1;101;EM Entrada mercador.;0180033733;1003763;5000236002;1;16/10/2025;14/11/2025;14/11/2025;09:41:39;10;10.359,90;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;10;UN;CDFL - CD FLORES;;0;10;10;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;UN;2025;;;S;WE;0,00;BRL;;;0;0;UN;UN;630,00;1.359,90;;
CDFL;4500128795;;;20;0;0;120182;CAMISA M RESIST ARCO ELET/CHAMA ATPV 9.0;101;EM Entrada mercador.;0180033928;1011140;5000239306;2;21/11/2025;02/12/2025;02/12/2025;14:38:04;50;7.954,37;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;50;UN;CDFL - CD FLORES;;0;50;50;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;UN;2025;;;S;WE;0,00;BRL;;;0;0;UN;UN;877,32;643,37;;
CDFL;4500135773;;;20;0;0;120188;OCULOS SEG PC CZ LENTE OPTIC;101;EM Entrada mercador.;0180033736;1003818;5000236014;2;04/11/2025;14/11/2025;14/11/2025;10:24:15;10;85,90;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;10;UN;CDFL - CD FLORES;;0;10;10;AMEN;;;;0,00;0,00;0;;0;0;;;B;;;;0;UN;2025;;;S;WE;0,00;BRL;;;0;0;UN;UN;17,18;0,00;;
