CÓDIGO	DESCRIÇÃO	UDM	VALOR UNITÁRIO	"LEAD 
TIME"
409620	REGULADOR TENSAO 1F 333KVA 7,96KV 438A	UN	633900	60
404892	DISJ 3P 17,5KV 1.250A 25KA SION 3AE 1284	UN	213546,36	60
403103	BUCHA CONDENSIVA POLIMERICA 138KV 1250A	CJ	205018	60
409816	DISJ 3P 15KV 2000A 31,5KA 3AH3165-4	UN	164430,7	60
409817	DISJ 3P 17,5KV 1250A 25KA 3AH5214-2	UN	160159,77	60
405770	CAMERA TERMOGRAFICA TERMOVISOR -40-2000º	PEÇ	152850,4	60
409945	SIST INVERSOR (N+1) C/ CHAVE ESTATICA	UN	139047,4	60
403531	BANCO DE BATERIAS ESTAC 125VCC - 500AH	UN	113853,32	60
409779	BANCO DE CAPACITOR 3F 15KV 600KVAR AUTOM	UN	100700,43	60
409778	BANCO DE CAPACITOR 3F 15KV 300KVAR AUTOM	UN	97337,23	60
402617	REGULADOR TENSAO 1F 167 KVA 7,96KV 219A	UN	90625	60
404149	RETIFIC CHAVEAD 380VCA/3F/125VCC/160A	UN	86775,87	60
409974	UNIDADE PROT DIFERENC LINHA RED 670	UN	81282,15	60
402860	REGULADOR TENSAO 1F 250 KVA 7,62KV 328A	UN	78170	60
409944	RETIFIC CHAVEAD 220VCA/3F/125VCC/150A	UN	78130,76	60
402866	REGISTRADOR DIG PERT RPV-311 GE/REASON	UN	68475	60
404535	REGULADOR TENSAO 1F 250 KVA 7,96KV 328A	UN	58203,77	60
409885	RELÉ DE PROTEÇAO DIFERENCIAL	M2	57613,5	60
402554	MEDIDOR/REGIST GRAND SIST ELET MT TRIF	UN	56000	90
400051	TRAFO AER 3F 15KV 225KVA 220/127V 7TP	UN	55600,8	90
406389	ANALISADOR DE BATERIA AVANCADO C/MOCHILA	UN	55500	90
403409	RELIGADOR 3F AUTOMATICO 15KV 630A 12,5kA	UN	55405,99	60
409374	TRAFO CRTE 72,5KV; 50/100/200-5-5-; 0,3C	UN	55000	60
804826	TRELIÇA METÁLICA P/ TORRE	UN	50728,46	60
400243	TRAFO AER 3F 15KV 150KVA 220/127V 7TP	UN	39775,5	90
402320	DISJUNTOR 3P 15KV 110KV 1250A 25KA	UN	39698,71	60
404553	TERMINAL DE COMPUTADOR SERVIDOR SAGE	UN	36046,61	90
403033	BANCO DE BATERIAS SELADA 48VCC 300AH	UN	35583,34	60
410067	SWITCH RUDDECOM i803 FO LC  ETHERNET	PEÇ	35000	60
