Documento de compras	Item	Contrato básico	It.contrato superior	Fornecedor/centro fornecedor	Tipo doc.compras	Ctg.doc.compras	Grupo de compradores	Histórico pedido/docum.SolRem.	Data do documento	Código de imposto	Material	Texto breve	Grupo de mercadorias	Código de eliminação	Categoria do item	Ctg.class.cont.	Centro	Depósito	Qtd.pedido	UM pedido	Qtd.na UnidGestEstoq	Unidade manutenção estoque	Preço líquido	Moeda	Unidade preço	Quantidade prevista	Qtd.prev.pendente	a ser fornecida (quantidade)	a ser fornecido (valor	Ãinda a faturar (quantidade)	Ainda a faturar (valor)	Núm.itens	Domicílio fiscal	Valor líquido pedido
4500138296	10	4600003047	20	1003137    INCESA INDUSTRIA DE COMPONENTES ELE	NB	F	A03		24/11/2025	C1	402307	CONECTOR PERF AL 25-185MM2 / 1,5-35MM2	MC12002				CDFL	INVT	4.550	UN	4.550	UN	60,08	BRL	1	0	0	4.550	273.354,90	4.550	273.354,90	1	ZF 1302603	273.354,90
4500138302	10	4600003113	10	1003137    INCESA INDUSTRIA DE COMPONENTES ELE	NB	F	A12		24/11/2025	C1	401834	CONECTOR PARAL AL 10AWG-1/0AWG	MC10301				CDFL	INVT	800	UN	800	UN	9,64	BRL	1	0	0	800	7.715,28	800	7.715,28	1	ZF 1302603	7.715,28
4500136509	10	4600001961	610	1003291    INDUSTRIA DE TRANSFORMADORES AMAZON	NB	F	A13		14/11/2025	C1	400072	TRAFO AER 1F 7,96KV 5KVA 240/120V 7TP	MC22103				CDFL	INVT	242	UN	242	UN	4.229,89	BRL	1	0	0	242	1.023.633,66	242	1.023.633,66	1	ZF 1302603	1.023.633,66
4500138793	10	4600003263	10	1003382    ELETRA INDUSTRIA E COMERCIO DE MEDI	NB	F	A16		20/01/2026	C1	403077	MEDIDOR ELET 3F 120V 15/120A BIDIREC MD	MC12501				CDFL	INVT	237	UN	237	UN	441,76	BRL	1	0	0	237	104.697,12	237	104.697,12	1	ZF 1302603	104.697,12
4500138795	10		0	1003382    ELETRA INDUSTRIA E COMERCIO DE MEDI	NB	F	A02		22/01/2026	C1	404114	MED IN 2E 3F 120 240V 120A TB QE GD B	MC12501				CDFL	INVT	500	UN	500	UN	506,36	BRL	1	0	0	500	253.180,40	500	253.180,40	1	ZF 1302603	253.180,40
4500138795	20		0	1003382    ELETRA INDUSTRIA E COMERCIO DE MEDI	NB	F	A02		22/01/2026	C1	404114	MED IN 2E 3F 120 240V 120A TB QE GD B	MC12501				CDFL	INVT	500	UN	500	UN	506,36	BRL	1	0	0	86	43.547,03	431	218.241,50	1	ZF 1302603	253.180,40
4500138796	10		0	1003383    INTERLIGACAO ELETRICA NORTE E NORDE	NB	F	A02		27/01/2026	C1	404114	MED IN 2E 3F 120 240V 120A TB QE GD B	MC12501				CDFL	INVT	500	UN	500	UN	535,13	BRL	1	0	0	293	156.793,47	362	193.717,53	1	ZF 1302603	267.565,65
4500137858	10	4600003086	30	1003412    MAURIZIO  CIA LTDA	NB	F	A02		20/11/2025	C1	400758	CHAVE SECC 1P 15KV 630A 110KV 25KA	MC10202				CDFL	INVT	488	UN	488	UN	483,6	BRL	1	0	0	488	235.996,80	488	235.996,80	1	ZF 1302603	235.996,80
4500137858	20	4600003086	20	1003412    MAURIZIO  CIA LTDA	NB	F	A02		20/11/2025	C1	402276	CHAVE FUSIVEL INDIC 15KV 200A/95KV BUC	MC10801				CDFL	INVT	46	UN	46	UN	342,24	BRL	1	0	0	46	15.743,04	46	15.743,04	1	ZF 1302603	15.743,04
4500137951	10	4600003075	10	1003412    MAURIZIO  CIA LTDA	NB	F	A02		21/11/2025	C1	402433	PARA-RAIO DISTRIB POL 12KV 10KA S/CENT	MC21101				CDFL	INVT	1.000	UN	1.000	UN	130,2	BRL	1	0	0	1.000	130.200,00	1.000	130.200,00	1	ZF 1302603	130.200,00
4500138326	10	4600003086	60	1003412    MAURIZIO  CIA LTDA	NB	F	A02		25/11/2025	C1	401857	CHAVE FUSIVEL DIST 15KV 100A/10KA PORC	MC10801				CDFL	INVT	1.000	UN	1.000	UN	268,77	BRL	1	0	0	0	0	1.000	268.770,00	1	ZF 1302603	268.770,00
4500135969	10	4600003102	160	1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA	NB	F	GAE		07/11/2025	C0	400221	POSTE FIBRA VIDRO E-CR 11M 300DAN	MC12001				CDFL	INVT	100	UN	100	UN	2.162,00	BRL	1	0	0	100	216.200,00	100	216.200,00	1	ZF 1302603	216.200,00
4500135969	20	4600003102	170	1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA	NB	F	GAE		07/11/2025	C0	401931	POSTE FIBRA VIDRO E-CR 13M 600DAN	MC12001				CDFL	INVT	10	UN	10	UN	4.258,00	BRL	1	0	0	10	42.580,00	10	42.580,00	1	ZF 1302603	42.580,00
4500137870	10	4600003071	20	1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA	NB	F	A01		21/11/2025	C0	800100	ISOLADOR PINO PORC 15KV 102MM 1350KGF	MC10902				CDFL	CUST	300	UN	300	UN	25	BRL	1	0	0	300	7.500,00	300	7.500,00	1	ZF 1302603	7.500,00
4500137870	20	4600003071	40	1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA	NB	F	A01		21/11/2025	C0	401711	ISOLADOR PINO PORC 15KV 102MM 1350KGF	MC10902				CDFL	INVT	565	UN	565	UN	25	BRL	1	0	0	0	0	565	14.125,00	1	ZF 1302603	14.125,00
4500137958	10	4600003071	20	1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA	NB	F	A01		21/11/2025	C0	800100	ISOLADOR PINO PORC 15KV 102MM 1350KGF	MC10902				CDFL	CUST	2.000	UN	2.000	UN	25	BRL	1	0	0	2.000	50.000,00	2.000	50.000,00	1	ZF 1302603	50.000,00
4500137958	20	4600003071	40	1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA	NB	F	A01		21/11/2025	C0	401711	ISOLADOR PINO PORC 15KV 102MM 1350KGF	MC10902				CDFL	INVT	2.743	UN	2.743	UN	25	BRL	1	0	0	2.743	68.575,00	2.743	68.575,00	1	ZF 1302603	68.575,00
4500137958	30	4600003071	30	1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA	NB	F	A01		21/11/2025	C0	400910	ISOLADOR DISCO 152X140MM 60KV 4500KGF	MC10902				CDFL	INVT	770	UN	770	UN	22,3	BRL	1	0	0	770	17.171,00	770	17.171,00	1	ZF 1302603	17.171,00
4500137988	10	4600002059	70	1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA	NB	F	A12		24/11/2025	C0	801112	CRUZETA POL FBV/RES PES 2400X112,5X90MM	MC12001				CDFL	CUST	1.052	UN	1.052	UN	185	BRL	1	0	0	1.052	194.620,00	1.052	194.620,00	1	ZF 1302603	194.620,00
4500138183	10	4600003102	130	1003624    POOL ENGENHARIA, SERVICO, INDUSTRIA	NB	F	GAE		24/11/2025	C0	401318	POSTE FIBRA VIDRO E-CR 9M 600DAN	MC12001				CDFL	INVT	50	UN	50	UN	2.390,00	BRL	1	0	0	50	119.500,00	50	119.500,00	1	ZF 1302603	119.500,00
4500138306	10	4600003112	140	1003799    CONIMEL EMPRESA DE MATERIAL ELETRIC	NB	F	A12		24/11/2025	C1	403182	CONECTOR CHAVE SEC 1P FACA CU 10-300MM2	MC12002				CDFL	INVT	468	UN	468	UN	173,22	BRL	1	0	0	468	81.067,80	468	81.067,80	1	ZF 1302603	81.067,80
4500138325	10	4600003204	10	1003799    CONIMEL EMPRESA DE MATERIAL ELETRIC	NB	F	A12		25/11/2025	C1	400790	CONECTOR ATERR REFORÇ HAST/CAB 5/8-35MM2	MC10301				CDFL	INVT	3.706	UN	3.706	UN	17,54	BRL	1	0	0	3.706	65.002,50	3.706	65.002,50	1	ZF 1302603	65.002,50
4500138328	10	4600003093	50	1003799    CONIMEL EMPRESA DE MATERIAL ELETRIC	NB	F	A03		25/11/2025	C1	801215	CONECTOR DER CU 13-34MM2	MC12002				CDFL	CUST	120	UN	120	UN	7,36	BRL	1	0	0	120	882,76	120	882,76	1	ZF 1302603	882,76
4500138328	20	4600003093	80	1003799    CONIMEL EMPRESA DE MATERIAL ELETRIC	NB	F	A03		25/11/2025	C1	402404	CONECTOR CUNHA LIGA AL AZ 120MM2 4/0AWG	MC12002				CDFL	INVT	298	UN	298	UN	11,3	BRL	1	0	0	298	3.367,25	298	3.367,25	1	ZF 1302603	3.367,25
4500138328	30	4600003093	90	1003799    CONIMEL EMPRESA DE MATERIAL ELETRIC	NB	F	A03		25/11/2025	C1	400506	CONECTOR DER CU 13-34MM2	MC12002				CDFL	INVT	950	UN	950	UN	7,36	BRL	1	0	0	950	6.988,48	950	6.988,48	1	ZF 1302603	6.988,48
4500135718	10	4600003162	10	1003818    B A ELETRICA LTDA	NB	F	A14		03/11/2025	C0	403275	FITA ISOL ELET 19MMX20M 0,19MM AZ	MC10903				CDFL	INVT	50	UN	50	UN	53,44	BRL	1	0	0	50	2.672,00	50	2.672,00	1	ZF 1302603	2.672,00
4500135718	20	4600003162	20	1003818    B A ELETRICA LTDA	NB	F	A14		03/11/2025	C0	403120	FITA ISOL ELET 19MMX20M 0,19MM BR	MC10903				CDFL	INVT	50	UN	50	UN	53,44	BRL	1	0	0	50	2.672,00	50	2.672,00	1	ZF 1302603	2.672,00
4500135718	30	4600003162	30	1003818    B A ELETRICA LTDA	NB	F	A14		03/11/2025	C0	403377	FITA ISOL ELET 19MMX20M 0,19MM VD	MC10903				CDFL	INVT	60	UN	60	UN	53,44	BRL	1	0	0	60	3.206,40	60	3.206,40	1	ZF 1302603	3.206,40
4500135718	40	4600003162	40	1003818    B A ELETRICA LTDA	NB	F	A14		03/11/2025	C0	403407	FITA ISOL ELET 19MMX20M 0,19MM VM	MC10903				CDFL	INVT	60	UN	60	UN	53,44	BRL	1	0	0	60	3.206,40	60	3.206,40	1	ZF 1302603	3.206,40
4500138085	10	4600003162	70	1003818    B A ELETRICA LTDA	NB	F	A14		24/11/2025	C0	802138	FITA ISOL ELET 19MMX20M 0,19MM VM	MC10903				CDFL	CUST	39	UN	39	UN	53,44	BRL	1	0	0	26	1.389,44	39	2.084,16	1	ZF 1302603	2.084,16
4500138085	20	4600003162	60	1003818    B A ELETRICA LTDA	NB	F	A14		24/11/2025	C0	802158	FITA ISOL ELET 19MMX20M 0,19MM BR	MC10903				CDFL	CUST	30	UN	30	UN	53,44	BRL	1	0	0	20	1.068,80	30	1.603,20	1	ZF 1302603	1.603,20
4500138085	30	4600003162	50	1003818    B A ELETRICA LTDA	NB	F	A14		24/11/2025	C0	802141	FITA ISOL ELET 19MMX20M 0,19MM AZ	MC10903				CDFL	CUST	30	UN	30	UN	53,44	BRL	1	0	0	20	1.068,80	30	1.603,20	1	ZF 1302603	1.603,20
4500138279	10	4600003195	50	1003866    ARCOMA DA AMAZONIA IND E COM LTDA	NB	F	A03		24/11/2025	C0	400224	POSTE CONC DUPL T 11 M 300 DAN	MC13001				CDFL	INVT	312	UN	312	UN	1.620,00	BRL	1	0	0	312	505.440,00	312	505.440,00	1	ZF 1302603	505.440,00
4500138279	20	4600003195	60	1003866    ARCOMA DA AMAZONIA IND E COM LTDA	NB	F	A03		24/11/2025	C0	401127	POSTE CONCRETO ARM DUPL T 11M 600KGF	MC13001				CDFL	INVT	173	UN	173	UN	2.062,00	BRL	1	0	0	173	356.726,00	173	356.726,00	1	ZF 1302603	356.726,00
4500135830	10	4600003213	210	1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET	NB	F	A15		05/11/2025	C0	402318	CABO  MULT 3X120+1X70MM² XLPE 0,6/1 KV	MC10101				CDFL	INVT	5.000	M	5.000	M	47,31	BRL	1	0	0	5.000	236.550,00	5.000	236.550,00	1	ZF 1302603	236.550,00
4500136122	10	4600003213	250	1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET	NB	F	A15		11/11/2025	C0	400473	CABO  MULT 3X50+1X50MM² XLPE 0,6/1 KV	MC10101				CDFL	INVT	1.000	M	1.000	M	21,05	BRL	1	0	0	1.000	21.050,00	1.000	21.050,00	1	ZF 1302603	21.050,00
4500136123	10	4600003048	70	1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET	NB	F	GAE		11/11/2025	C0	800031	CABO ELET NU CA AL 2AWG 33,54MM2 IRIS	MC10101				CDFL	CUST	6.536	KG	6.536	KG	29	BRL	1	0	0	6.536	189.544,00	6.536	189.544,00	1	ZF 1302603	189.544,00
4500136235	10	4600003213	280	1003949    FLEX INDUSTRIA DE FIOS E CABOS ELET	NB	F	A15		12/11/2025	C0	400473	CABO  MULT 3X50+1X50MM² XLPE 0,6/1 KV	MC10101				CDFL	INVT	4.112	M	4.112	M	21,05	BRL	1	0	0	4.112	86.557,60	4.112	86.557,60	1	ZF 1302603	86.557,60
4500137959	10	4600003073	20	1004591    REAL ENERGIA EIRELI	NB	F	A01		21/11/2025	C1	408994	ISOLADOR PINO, POLIMERICO COM TRAVAS	MC12002				CDFL	INVT	1.000	UN	1.000	UN	20,46	BRL	1	0	0	1.000	20.460,00	1.000	20.460,00	1	ZF 1302603	20.460,00
4500138761	10		0	1004735    HITACHI ENERGY BRASIL LTDA	NB	F	A07		06/01/2026	C1	403103	BUCHA CONDENSIVA POLIMERICA 138KV 1250A	MC10902				CDFL	INVT	6	UN	6	UN	196.817,28	BRL	1	0	0	6	1.180.903,68	6	1.180.903,68	1	ZF 1302603	1.180.903,68
4500138212	10	4600003099	60	1006698    AMAZONPOSTES INDUSTRIA DE ARTEFATOS	NB	F	A03		24/11/2025	C0	400988	POSTE CONCRETO TRON CON 9M 600KGF	MC13001				CDFL	INVT	6	UN	6	UN	1.959,95	BRL	1	0	0	6	11.759,70	6	11.759,70	1	ZF 1302603	11.759,70
4500138262	10	4600002571	20	1006698    AMAZONPOSTES INDUSTRIA DE ARTEFATOS	NB	F	GAE		24/11/2025	C1	400210	POSTE CONCRETO TRON CON 13M 1000KGF	MC13001				CDFL	INVT	3	UN	3	UN	3.315,65	BRL	1	0	0	3	9.946,96	3	9.946,96	1	ZF 1302603	9.946,96
4500138262	20	4600002571	70	1006698    AMAZONPOSTES INDUSTRIA DE ARTEFATOS	NB	F	GAE		24/11/2025	C1	402650	POSTE CONCRETO DUPLO T 9/600	MC13001				CDFL	INVT	156	UN	156	UN	1.190,00	BRL	1	0	0	125	148.750,00	156	185.640,00	1	ZF 1302603	185.640,00
