material,departamento,programa_orcamentario,proporcao
MAT001,PRODUCAO,PO-002-PRODUCAO-LINHA-A,0.60
MAT001,MANUTENCAO,PO-001-MANUT-PREVENTIVA,0.40
MAT002,MANUTENCAO,PO-001-MANUT-PREVENTIVA,1.00
MAT003,MANUTENCAO,PO-001-MANUT-PREVENTIVA,0.80
MAT003,PRODUCAO,PO-002-PRODUCAO-LINHA-A,0.20
MAT004,MANUTENCAO,PO-001-MANUT-PREVENTIVA,1.00
MAT005,MANUTENCAO,PO-001-MANUT-PREVENTIVA,0.70
MAT005,PRODUCAO,PO-003-PRODUCAO-LINHA-B,0.30
MAT006,MANUTENCAO,PO-001-MANUT-PREVENTIVA,0.50
MAT006,PRODUCAO,PO-002-PRODUCAO-LINHA-A,0.50
MAT007,PRODUCAO,PO-002-PRODUCAO-LINHA-A,0.40
MAT007,PRODUCAO,PO-003-PRODUCAO-LINHA-B,0.35
MAT007,MANUTENCAO,PO-001-MANUT-PREVENTIVA,0.25
MAT008,MANUTENCAO,PO-001-MANUT-PREVENTIVA,0.60
MAT008,ENGENHARIA,PO-005-PROJETOS-ESPECIAIS,0.40
MAT009,QUALIDADE,PO-004-QUALIDADE-LAB,0.60
MAT009,ENGENHARIA,PO-005-PROJETOS-ESPECIAIS,0.40
MAT010,ENGENHARIA,PO-005-PROJETOS-ESPECIAIS,0.50
MAT010,PRODUCAO,PO-002-PRODUCAO-LINHA-A,0.30
MAT010,MANUTENCAO,PO-001-MANUT-PREVENTIVA,0.20
