Nome Demanda;PROJETO;DEPÓSITO;DEP.;X;CÓDIGO;Descrição;UNID;MÊS;Qtd
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/01/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/02/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/03/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/04/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/05/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/06/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/07/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/08/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/09/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/10/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/11/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10001;TRAFO 75KVA SIM;UN;01/12/2026;1
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/01/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/02/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/03/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/04/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/05/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/06/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/07/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/08/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/09/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/10/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/11/2026;2
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10002;RELIGADOR SIM;UN;01/12/2026;2
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/01/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/02/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/03/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/04/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/05/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/06/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/07/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/08/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/09/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/10/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/11/2026;10
SIMULACAO;A50_MANUTENCAO;CUSTEIO;DPC;;10003;MEDIDOR 1F SIM;UN;01/12/2026;10
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/01/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/02/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/03/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/04/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/05/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/06/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/07/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/08/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/09/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/10/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/11/2026;100
SIMULACAO;A40_INSPECAO;CUSTEIO;DPC;;10004;PARAFUSO M16 SIM;UN;01/12/2026;100
