material,classe,periodo,demanda,entrada_pedidos_existentes,entrada_pedidos_novos,total_entradas,estoque_projetado,estoque_seguranca_3m,necessidade,pedido_gerado,periodo_entrega
10001,A,2026-04,1,0,0,0,2,6,0,0,
10001,A,2026-05,1,4,0,4,5,6,1,1,2026-07
10001,A,2026-06,1,0,0,0,4,6,1,1,2026-08
10001,A,2026-07,1,0,1,1,4,5,0,0,
10001,A,2026-08,1,0,1,1,4,4,0,0,
10001,A,2026-09,1,0,0,0,3,3,0,0,
10001,A,2026-10,1,0,0,0,2,2,0,0,
10001,A,2026-11,1,0,0,0,1,1,0,0,
10001,A,2026-12,1,0,0,0,0,0,0,0,
10001,A,2027-01,0,0,0,0,0,0,0,0,
10001,A,2027-02,0,0,0,0,0,0,0,0,
10001,A,2027-03,0,0,0,0,0,0,0,0,
10002,B,2026-04,2,0,0,0,4,10,0,0,
10002,B,2026-05,2,0,0,0,2,10,0,0,
10002,B,2026-06,2,8,0,8,8,10,2,2,2026-07
10002,B,2026-07,2,0,2,2,8,10,2,2,2026-08
10002,B,2026-08,2,0,2,2,8,8,0,0,
10002,B,2026-09,2,0,0,0,6,6,0,0,
10002,B,2026-10,2,0,0,0,4,4,0,0,
10002,B,2026-11,2,0,0,0,2,2,0,0,
10002,B,2026-12,2,0,0,0,0,0,0,0,
10002,B,2027-01,0,0,0,0,0,0,0,0,
10002,B,2027-02,0,0,0,0,0,0,0,0,
10002,B,2027-03,0,0,0,0,0,0,0,0,
10003,C,2026-04,10,0,0,0,15,60,15,15,2026-05
10003,C,2026-05,10,30,15,45,50,60,10,10,2026-06
10003,C,2026-06,10,0,10,10,50,60,10,10,2026-07
10003,C,2026-07,10,0,10,10,50,50,0,0,
10003,C,2026-08,10,0,0,0,40,40,0,0,
10003,C,2026-09,10,0,0,0,30,30,0,0,
10003,C,2026-10,10,0,0,0,20,20,0,0,
10003,C,2026-11,10,0,0,0,10,10,0,0,
10003,C,2026-12,10,0,0,0,0,0,0,0,
10003,C,2027-01,0,0,0,0,0,0,0,0,
10003,C,2027-02,0,0,0,0,0,0,0,0,
10003,C,2027-03,0,0,0,0,0,0,0,0,
10004,C,2026-04,100,0,0,0,400,500,100,100,2026-05
10004,C,2026-05,100,0,100,100,400,500,100,100,2026-06
10004,C,2026-06,100,0,100,100,400,500,100,100,2026-07
10004,C,2026-07,100,0,100,100,400,500,100,100,2026-08
10004,C,2026-08,100,0,100,100,400,400,0,0,
10004,C,2026-09,100,0,0,0,300,300,0,0,
10004,C,2026-10,100,0,0,0,200,200,0,0,
10004,C,2026-11,100,0,0,0,100,100,0,0,
10004,C,2026-12,100,0,0,0,0,0,0,0,
10004,C,2027-01,0,0,0,0,0,0,0,0,
10004,C,2027-02,0,0,0,0,0,0,0,0,
10004,C,2027-03,0,0,0,0,0,0,0,0,
