material,descricao,classe,periodo_necessidade,data_pedido,lead_time_dias,data_chegada,periodo_entrega,quantidade,valor_unitario,valor_total_pedido
10001,TRAFO 75KVA SIM,A,2026-05,01/05/2026,90,30/07/2026,2026-07,1,50000.0,50000.0
10001,TRAFO 75KVA SIM,A,2026-06,01/06/2026,90,30/08/2026,2026-08,1,50000.0,50000.0
10002,RELIGADOR SIM,B,2026-06,01/06/2026,60,31/07/2026,2026-07,2,15000.0,30000.0
10002,RELIGADOR SIM,B,2026-07,01/07/2026,60,30/08/2026,2026-08,2,15000.0,30000.0
10003,MEDIDOR 1F SIM,C,2026-04,03/04/2026,45,18/05/2026,2026-05,15,800.0,12000.0
10003,MEDIDOR 1F SIM,C,2026-05,01/05/2026,45,15/06/2026,2026-06,10,800.0,8000.0
10003,MEDIDOR 1F SIM,C,2026-06,01/06/2026,45,16/07/2026,2026-07,10,800.0,8000.0
10004,PARAFUSO M16 SIM,C,2026-04,03/04/2026,7,01/05/2026,2026-05,100,5.0,500.0
10004,PARAFUSO M16 SIM,C,2026-05,01/05/2026,7,01/06/2026,2026-06,100,5.0,500.0
10004,PARAFUSO M16 SIM,C,2026-06,01/06/2026,7,01/07/2026,2026-07,100,5.0,500.0
10004,PARAFUSO M16 SIM,C,2026-07,01/07/2026,7,01/08/2026,2026-08,100,5.0,500.0
