tipo,material,periodo_entrega,departamento,programa_orcamentario,qtd_rateada,proporcao_pct
GERADO,10001,2026-10,DPC,A40_INSPECAO,1.0,100.0
GERADO,10001,2026-11,DPC,A40_INSPECAO,1.0,100.0
GERADO,10001,2026-12,DPC,A40_INSPECAO,1.0,100.0
GERADO,10002,2026-09,DPC,A40_INSPECAO,1.4,70.0
GERADO,10002,2026-09,DPC,A50_MANUTENCAO,0.6,30.0
GERADO,10002,2026-10,DPC,A40_INSPECAO,1.4,70.0
GERADO,10002,2026-10,DPC,A50_MANUTENCAO,0.6,30.0
GERADO,10002,2026-11,DPC,A40_INSPECAO,1.4,70.0
GERADO,10002,2026-11,DPC,A50_MANUTENCAO,0.6,30.0
GERADO,10003,2026-09,DPC,A40_INSPECAO,14.0,40.0
GERADO,10003,2026-09,DPC,A50_MANUTENCAO,21.0,60.0
GERADO,10003,2027-01,DPC,A40_INSPECAO,4.0,40.0
GERADO,10003,2027-01,DPC,A50_MANUTENCAO,6.0,60.0
GERADO,10004,2026-09,DPC,A40_INSPECAO,400.0,100.0
GERADO,10004,2027-01,DPC,A40_INSPECAO,100.0,100.0
EXISTENTE,10001,2026-05,DPC,A40_INSPECAO,4.0,100.0
EXISTENTE,10002,2026-06,DPC,A40_INSPECAO,5.6,70.0
EXISTENTE,10002,2026-06,DPC,A50_MANUTENCAO,2.4,30.0
EXISTENTE,10003,2026-05,DPC,A40_INSPECAO,12.0,40.0
EXISTENTE,10003,2026-05,DPC,A50_MANUTENCAO,18.0,60.0
