CONTRATO / PEDIDO;PAGAMENTO_01;PAGAMENTO_02;PAGAMENTO_03;PAGAMENTO_04;QTD_PARCELAS;CONCATENAR
4500047382;30;;;;1;1x (30///)
4500051748;30;;;;1;1x (30///)
4500051795;30;60;90;;3;3x (30/60/90/)
4500051796;30;;;;1;1x (30///)
4500052920;30;60;90;;3;3x (30/60/90/)
4500052943;30;;;;1;1x (30///)
4500052994;30;;;;1;1x (30///)
4500053389;30;;;;1;1x (30///)
4500053433;30;;;;1;1x (30///)
4500053795;30;;;;1;1x (30///)
4500054113;30;;;;1;1x (30///)
4500054313;30;;;;1;1x (30///)
4500054772;30;;;;1;1x (30///)
4500054776;30;;;;1;1x (30///)
4500054780;30;;;;1;1x (30///)
4500055050;30;60;;;2;2x (30/60//)
4500055977;30;;;;1;1x (30///)
4500056941;30;;;;1;1x (30///)
4500056945;30;;;;1;1x (30///)
4500056981;30;;;;1;1x (30///)
4500057094;30;;;;1;1x (30///)
4500057386;30;;;;1;1x (30///)
4500057393;30;;;;1;1x (30///)
4500057398;30;;;;1;1x (30///)
4500057788;30;;;;1;1x (30///)
4500057791;30;;;;1;1x (30///)
4500057794;30;;;;1;1x (30///)
4500057802;30;;;;1;1x (30///)
4500057870;30;;;;1;1x (30///)
4500058186;30;;;;1;1x (30///)
4500058299;30;;;;1;1x (30///)
4500058720;30;;;;1;1x (30///)
4500058870;30;;;;1;1x (30///)
4500058991;30;;;;1;1x (30///)
4500058997;30;;;;1;1x (30///)
4500059114;30;;;;1;1x (30///)
4500059116;30;;;;1;1x (30///)
4500059989;30;;;;1;1x (30///)
4500060223;30;60;;;2;2x (30/60//)
4500060277;30;;;;1;1x (30///)
4500060308;30;;;;1;1x (30///)
4500060309;30;;;;1;1x (30///)
4500060703;30;;;;1;1x (30///)
4500060824;30;;;;1;1x (30///)
4500060825;30;;;;1;1x (30///)
4500060826;30;;;;1;1x (30///)
4500060996;30;;;;1;1x (30///)
4500061007;30;;;;1;1x (30///)
4500061165;30;;;;1;1x (30///)
4500061380;15;;;;1;1x (15///)
4500061382;30;;;;1;1x (30///)
4500061421;30;;;;1;1x (30///)
4500061454;30;;;;1;1x (30///)
4500061488;30;;;;1;1x (30///)
4500061489;30;;;;1;1x (30///)
4500061490;30;;;;1;1x (30///)
4500061491;30;;;;1;1x (30///)
4500061497;30;;;;1;1x (30///)
4500061811;30;;;;1;1x (30///)
4500062154;30;;;;1;1x (30///)
4500062197;30;;;;1;1x (30///)
4500062375;30;;;;1;1x (30///)
4500062377;30;;;;1;1x (30///)
4500062378;30;;;;1;1x (30///)
4500062382;30;;;;1;1x (30///)
4500062384;30;;;;1;1x (30///)
4500062463;30;;;;1;1x (30///)
4500062473;30;;;;1;1x (30///)
4500062535;30;;;;1;1x (30///)
4500062755;30;;;;1;1x (30///)
4500062865;30;;;;1;1x (30///)
4500063177;30;;;;1;1x (30///)
4500063688;30;;;;1;1x (30///)
4500064317;30;;;;1;1x (30///)
4500064439;30;;;;1;1x (30///)
4500064444;30;;;;1;1x (30///)
4500064447;30;;;;1;1x (30///)
4500064467;30;;;;1;1x (30///)
4500064522;30;;;;1;1x (30///)
4500064843;30;;;;1;1x (30///)
4500064847;30;;;;1;1x (30///)
4500064862;30;;;;1;1x (30///)
4500064956;30;;;;1;1x (30///)
4500064957;30;;;;1;1x (30///)
4500065057;30;;;;1;1x (30///)
4500065394;30;;;;1;1x (30///)
4500065406;30;;;;1;1x (30///)
4500065503;30;;;;1;1x (30///)
4500065626;30;;;;1;1x (30///)
4500065910;30;;;;1;1x (30///)
4500065911;30;;;;1;1x (30///)
4500065939;30;;;;1;1x (30///)
4500066569;30;;;;1;1x (30///)
4500067260;30;;;;1;1x (30///)
4500067397;30;;;;1;1x (30///)
4500067406;30;;;;1;1x (30///)
4500067407;30;;;;1;1x (30///)
4500067416;30;;;;1;1x (30///)
4500067419;30;;;;1;1x (30///)
4500067464;30;;;;1;1x (30///)
4500067542;30;;;;1;1x (30///)
4500067582;30;;;;1;1x (30///)
4500067742;30;;;;1;1x (30///)
4500068340;30;;;;1;1x (30///)
4500069013;30;;;;1;1x (30///)
4500069094;30;;;;1;1x (30///)
4500069127;30;;;;1;1x (30///)
4500069128;30;;;;1;1x (30///)
4500069146;30;;;;1;1x (30///)
4500069250;30;;;;1;1x (30///)
4500069251;30;;;;1;1x (30///)
4500069624;30;;;;1;1x (30///)
4500069942;30;;;;1;1x (30///)
4500070039;45;;;;1;1x (45///)
4500070041;30;;;;1;1x (30///)
4500071076;30;;;;1;1x (30///)
4500071501;30;;;;1;1x (30///)
4500072017;30;;;;1;1x (30///)
4500072150;30;;;;1;1x (30///)
4500072155;30;60;90;;3;3x (30/60/90/)
4500072445;30;;;;1;1x (30///)
4500072941;30;;;;1;1x (30///)
4500074286;30;;;;1;1x (30///)
4500074289;30;;;;1;1x (30///)
4500074638;30;;;;1;1x (30///)
4500074939;1;;;;1;1x (1///)
4500075094;30;;;;1;1x (30///)
4500076465;30;;;;1;1x (30///)
4500076896;30;;;;1;1x (30///)
4500077236;30;;;;1;1x (30///)
4500077241;30;;;;1;1x (30///)
4500077438;30;;;;1;1x (30///)
4500077451;30;;;;1;1x (30///)
4500077454;30;;;;1;1x (30///)
4500077801;30;;;;1;1x (30///)
4500077826;30;;;;1;1x (30///)
4500077973;30;;;;1;1x (30///)
4500078082;30;60;90;;3;3x (30/60/90/)
4500079086;30;;;;1;1x (30///)
4500079445;30;;;;1;1x (30///)
4500079447;30;;;;1;1x (30///)
4500079476;30;;;;1;1x (30///)
4500079537;30;45;60;;3;3x (30/45/60/)
4500079552;1;;;;1;1x (1///)
4500080362;30;;;;1;1x (30///)
4500080383;30;;;;1;1x (30///)
4500080384;15;;;;1;1x (15///)
4500081602;1;;;;1;1x (1///)
4500083678;30;;;;1;1x (30///)
4500083954;30;;;;1;1x (30///)
4500083970;30;;;;1;1x (30///)
4500084315;30;60;90;;3;3x (30/60/90/)
4500084521;30;60;90;;3;3x (30/60/90/)
4500084522;30;;;;1;1x (30///)
4500084712;A VISTA;;;;0;0x (A VISTA///)
4500085534;30;;;;1;1x (30///)
4500085672;30;;;;1;1x (30///)
4500085752;30;;;;1;1x (30///)
4500085845;30;;;;1;1x (30///)
4500086035;30;;;;1;1x (30///)
4500086292;30;;;;1;1x (30///)
4500086344;30;;;;1;1x (30///)
4500086589;30;;;;1;1x (30///)
4500086894;30;;;;1;1x (30///)
4500087018;30;;;;1;1x (30///)
4500087125;30;;;;1;1x (30///)
4500087337;30;;;;1;1x (30///)
4500087343;30;;;;1;1x (30///)
4500087528;30;;;;1;1x (30///)
4500087534;30;;;;1;1x (30///)
4500088205;30;60;90;;3;3x (30/60/90/)
4500088430;30;;;;1;1x (30///)
4500088558;30;;;;1;1x (30///)
4500088874;30;;;;1;1x (30///)
4500088933;30;;;;1;1x (30///)
4500088967;30;;;;1;1x (30///)
4500090652;30;;;;1;1x (30///)
4500090888;30;;;;1;1x (30///)
4500091221;30;;;;1;1x (30///)
4500091260;30;;;;1;1x (30///)
4500091280;30;;;;1;1x (30///)
4500091290;30;;;;1;1x (30///)
4500091293;30;;;;1;1x (30///)
4500091294;30;;;;1;1x (30///)
4500091361;30;;;;1;1x (30///)
4500091616;30;60;90;;3;3x (30/60/90/)
4500091895;30;;;;1;1x (30///)
4500092060;30;;;;1;1x (30///)
4500092443;30;;;;1;1x (30///)
4500092455;30;;;;1;1x (30///)
4600000222;30;60;90;;3;3x (30/60/90/)
4600000321;30;;;;1;1x (30///)
4600000429;45;;;;1;1x (45///)
4600000450;30;45;;;2;2x (30/45//)
4600000629;75;;;;1;1x (75///)
4600000686;30;;;;1;1x (30///)
4600000792;60;;;;1;1x (60///)
4600001226;30;;;;1;1x (30///)
4600001374;30;60;90;;3;3x (30/60/90/)
4600001381;30;;;;1;1x (30///)
4600001390;30;;;;1;1x (30///)
4600001391;30;;;;1;1x (30///)
4600001393;30;;;;1;1x (30///)
4600001396;30;;;;1;1x (30///)
4600001397;30;;;;1;1x (30///)
4600001402;30;60;90;;3;3x (30/60/90/)
4600001545;45;;;;1;1x (45///)
4600001581;30;45;60;;3;3x (30/45/60/)
4600001585;30;60;90;;3;3x (30/60/90/)
4600001600;30;60;90;;3;3x (30/60/90/)
4600001617;30;;;;1;1x (30///)
4600001622;45;60;90;;3;3x (45/60/90/)
4600001625;30;60;90;;3;3x (30/60/90/)
4600001626;30;;;;1;1x (30///)
4600001628;30;60;90;;3;3x (30/60/90/)
4600001651;30;60;90;;3;3x (30/60/90/)
4600001655;30;60;90;;3;3x (30/60/90/)
4600001661;30;;;;1;1x (30///)
4600001662;45;60;90;;3;3x (45/60/90/)
4600001741;30;45;60;90;4;4x (30/45/60/90
4600001745;30;60;90;120;4;4x (30/60/90/120
4600001761;30;60;;;2;2x (30/60//)
4600001781;30;60;90;;3;3x (30/60/90/)
4600001810;30;60;90;;3;3x (30/60/90/)
4600001813;30;60;90;;3;3x (30/60/90/)
4600001818;30;60;90;;3;3x (30/60/90/)
4600001819;30;60;90;;3;3x (30/60/90/)
4600001821;30;45;60;;3;3x (30/45/60/)
4600001851;30;60;90;120;4;4x (30/60/90/120
4600001861;50;;;;1;1x (50///)
4600001865;30;60;90;;3;3x (30/60/90/)
4600001875;30;60;90;;3;3x (30/60/90/)
4600001879;30;60;90;;3;3x (30/60/90/)
4600001924;45;60;90;;3;3x (45/60/90/)
4600001937;30;;;;1;1x (30///)
4600001963;30;45;60;;3;3x (30/45/60/)
4600001967;30;60;90;;3;3x (30/60/90/)
4600001985;30;60;90;;3;3x (30/60/90/)
4600001992;20;;;;1;1x (20///)
4600002000;45;;;;1;1x (45///)
4600002005;30;60;90;;3;3x (30/60/90/)
4600002006;30;60;90;;3;3x (30/60/90/)
4600002007;30;60;90;;3;3x (30/60/90/)
4600002009;30;60;90;;3;3x (30/60/90/)
4600002011;30;;;;1;1x (30///)
4600002012;30;45;60;;3;3x (30/45/60/)
4600002013;30;60;90;;3;3x (30/60/90/)
4600002014;60;;;;1;1x (60///)
4600002015;30;60;90;;3;3x (30/60/90/)
4600002017;30;60;90;120;4;4x (30/60/90/120
4600002018;30;60;90;;3;3x (30/60/90/)
4600002019;30;60;90;;3;3x (30/60/90/)
4600002020;30;60;;;2;2x (30/60//)
4600002021;30;45;60;;3;3x (30/45/60/)
4600002023;30;45;60;;3;3x (30/45/60/)
4600002024;30;60;90;;3;3x (30/60/90/)
4600002026;30;45;60;;3;3x (30/45/60/)
4600002029;30;60;90;;3;3x (30/60/90/)
4600002034;30;60;90;;3;3x (30/60/90/)
4600002035;30;60;90;;3;3x (30/60/90/)
4600002038;30;60;;;2;2x (30/60//)
4600002044;30;60;90;;3;3x (30/60/90/)
4600002046;45;;;;1;1x (45///)
4600002047;35;45;60;;3;3x (35/45/60/)
4600002048;30;45;60;;3;3x (30/45/60/)
4600002050;30;60;;;2;2x (30/60//)
4600002051;30;45;60;;3;3x (30/45/60/)
4600002052;15;;;;1;1x (15///)
4600002053;30;60;90;;3;3x (30/60/90/)
4600002055;30;45;90;;3;3x (30/45/90/)
4600002059;30;60;90;;3;3x (30/60/90/)
4600002060;30;60;90;;3;3x (30/60/90/)
4600002061;30;;;;1;1x (30///)
4600002062;30;60;90;;3;3x (30/60/90/)
4600002063;30;60;90;;3;3x (30/60/90/)
