Nome Demanda;PROJETO;DEPÓSITO;DEP.;X;CÓDIGO;Descrição;UNID;MÊS;Qtd;MES;SEMANA;OBSERVAÇÃO;ESPECÍFICO?
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/01/2026;200;1;1/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/02/2026;200;2;6/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/03/2026;200;3;10/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/04/2026;200;4;14/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/05/2026;200;5;18/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/06/2026;200;6;23/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/07/2026;200;7;27/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/08/2026;200;8;31/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/09/2026;200;9;36/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/10/2026;200;10;40/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/11/2026;200;11;45/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402824;MED EL 1E 2F 120V 100A GD B;;01/12/2026;200;12;49/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/01/2026;320;1;1/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/02/2026;320;2;6/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/03/2026;320;3;10/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/04/2026;320;4;14/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/05/2026;320;5;18/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/06/2026;320;6;23/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/07/2026;320;7;27/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/08/2026;320;8;31/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/09/2026;320;9;36/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/10/2026;320;10;40/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/11/2026;320;11;45/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;400937;MED EL 2E 3F 120V 120A GD B;;01/12/2026;320;12;49/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402592;MED EL 3E 4F 120V 120A GD B;;01/01/2026;100;1;1/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402592;MED EL 3E 4F 120V 120A GD B;;01/02/2026;100;2;6/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402592;MED EL 3E 4F 120V 120A GD B;;01/03/2026;100;3;10/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402592;MED EL 3E 4F 120V 120A GD B;;01/04/2026;100;4;14/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402592;MED EL 3E 4F 120V 120A GD B;;01/05/2026;100;5;18/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402592;MED EL 3E 4F 120V 120A GD B;;01/06/2026;100;6;23/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402592;MED EL 3E 4F 120V 120A GD B;;01/07/2026;100;7;27/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402592;MED EL 3E 4F 120V 120A GD B;;01/08/2026;100;8;31/2026;;
DEMANDA LEONARDO (EMAIL: 08/05/2026);A40_INSPEÇÃO_UCS;INVESTIMENTO;DCR;;402592;MED EL 3E 4F 120V 120A GD B;;01/09/2026;100;9;36/2026;;
