Tipo de depósito;Posição no depósito;Produto;Descrição breve do produto;UM básica;Qtd.disponível UMB;Tipo de estoque;Denominação do tipo de estoque;Preço do material;Valor total;Nome do usuário;Dt.contg.inven.fís.;Qtd.na UM administrada em estoque;UM admin.estoque
BLIN;1G-01-05B BLIN;400813;CABO ELETRICO ISOLADO SINGELO 6MM2;M;18.816;L2;Utilização livre depósito INVT;1,75;32.928,00;;;0,00000000000000;
BLIN;1G-04-01A BLIN;402152;CABO ELET CU 95MM2 90°XLPE 0,6/1KV;M;4.702;L2;Utilização livre depósito INVT;82,93;389.936,86;;;0,00000000000000;
BLIN;1G-05-02A BLIN;403656;CABO AL CONCENTRICO 3F 3X25+25MM2;M;132;L2;Utilização livre depósito INVT;25,38;3.350,16;;;0,00000000000000;
BLIN;1G-05-04A BLIN;400594;CABO DE AÇO REVESTIDOS DE COBRE 35MM²;KG;7.582,568;L2;Utilização livre depósito INVT;95,38;723.225,34;;;0,00000000000000;
BLIN;2G-01-07A BLIN;401264;PINO ISOLADOR AC 25X294X19MM;UN;446;L2;Utilização livre depósito INVT;26,56;11.845,76;;;0,00000000000000;
BLIN;2G-02-03A BLIN;403209;PRENSA CABO PVC 3/4P;UN;10.232;L2;Utilização livre depósito INVT;5,77;59.038,64;;;0,00000000000000;
BLIN;2G-02-04E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-02-05E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-02-06E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-02-07E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-02-08E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-02-09E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;875;L2;Utilização livre depósito INVT;73,82;64.592,50;;;0,00000000000000;
BLIN;2G-03-07A BLIN;400790;CONECTOR ATERR REFORÇ HAST/CAB 5/8-35MM2;UN;8.077;L2;Utilização livre depósito INVT;21,04;169.940,08;;;0,00000000000000;
BLIN;2G-03-13E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-03-14E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;1.750;L2;Utilização livre depósito INVT;73,82;129.185,00;;;0,00000000000000;
BLIN;2G-03-15E BLIN;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;UN;875;L2;Utilização livre depósito INVT;73,82;64.592,50;;;0,00000000000000;
BLIN;2G-03-18A BLIN;401937;SAPATILHA CABO DE ACO 3/8P;UN;13.124;L2;Utilização livre depósito INVT;3,25;42.653,00;;;0,00000000000000;
