Centro;Pedido;Ordem;Texto cabeçalho documento;Item;Nº reserva;Nº item reserva transferência;Material;Texto breve material;Tipo de movimento;Txt.tipo movimento;Referência;Fornecedor;Doc.material;Item doc.material;Data do documento;Data de lançamento;Data de entrada;Hora do registro;Quantidade;Montante em MI;Depósito;Centro financeiro;Nome do usuário;CAMPO TEXTO DESC.;CAMPO AUTOR DESC.;Operação;Elemento PEP;Imobilizado;Conta do Razão;Classificação contábil múltipla;Estoque especial;Qtd.  UM registro;UM registro;Nome 1;Subnº;Nº roteiro operações;Qtd.em UPP;Qtd.em UM pedido;Empresa;Tipo de avaliação;Lote;Número de documento configurável;Montante externo em MI;Valor de venda;Motivo do movimento;Ordem do cliente;Divisão ord.cliente;Item ord.cliente;Centro custo;Cliente;Código de movimento;Consumo;Código entrada;Ordem do cliente;Item ord.cliente;UM básica;Ano doc.material;Diagrama de rede;Segmento de estoque;Cód.débito/crédito;Tp.transação/evento;Valor PV com IVA;Moeda;Nota acomp.mercadoria;Item gerado automaticamente;Linha original;Contador;Unid.prç.pedido;UM pedido;CAMPO VALOR ICMS;CAMPO VALOR DIFAL;Documento do depósito;Nº do depósito
CDFL;4500152896;;;60;0;0;110097;APONTADOR LAPIS, COM DEPOSITO;101;EM Entrada mercador.;180035956;1014316;5000263807;4;04/05/2026;15/05/2026;15/05/2026;09:16:20;5; R$ 4,55 ;CUST;ESTOQUE_AME;LPEIXOTO;;;;;;;;;5;UN;CDFL - CD FLORES;;0;5;5;AMEN;;;;0;0;0;;0;0;;;B;;;;0;UN;2026;;;S;WE;0;BRL;;;0;0;UN;UN;0,31;0;;
CDFL;4500150222;;;60;0;0;110215;CAIXA ARQUIVO PLAST CORRUG 360X135X250MM;101;EM Entrada mercador.;180035472;1003813;5000257866;10;27/03/2026;02/04/2026;02/04/2026;11:44:29;150;657;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;150;UN;CDFL - CD FLORES;;0;150;150;AMEN;;;;0;0;0;;0;0;;;B;;;;0;UN;2026;;;S;WE;0;BRL;;;0;0;UN;UN;131,4;0;;
CDFL;4500150222;;;40;0;0;110356;PASTA L PLAST AZ 31X22CM;101;EM Entrada mercador.;180035472;1003813;5000257866;7;27/03/2026;02/04/2026;02/04/2026;11:44:29;20;14;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;20;UN;CDFL - CD FLORES;;0;20;20;AMEN;;;;0;0;0;;0;0;;;B;;;;0;UN;2026;;;S;WE;0;BRL;;;0;0;UN;UN;2,8;0;;
CDFL;4500150222;;;90;0;0;110404;ENVELOPE CORRES PAP 80G/M2 NT 340X240MM;101;EM Entrada mercador.;180035472;1003813;5000257866;8;27/03/2026;02/04/2026;02/04/2026;11:44:29;2;14,24;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;2;UN;CDFL - CD FLORES;;0;2;2;AMEN;;;;0;0;0;;0;0;;;B;;;;0;UN;2026;;;S;WE;0;BRL;;;0;0;UN;UN;0;0;;
CDFL;4500145134;;;10;0;0;110418;DISCO CORTE ACO 7P;101;EM Entrada mercador.;180034873;1003818;5000252052;1;06/02/2026;20/02/2026;20/02/2026;11:08:22;100;527;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;100;UN;CDFL - CD FLORES;;0;100;100;AMEN;;;;0;0;0;;0;0;;;B;;;;0;UN;2026;;;S;WE;0;BRL;;;0;0;UN;UN;0;0;;
CDFL;4500152896;;;50;0;0;110516;PRENDEDOR PAPEL AI 51MM 100FL;101;EM Entrada mercador.;180035956;1014316;5000263807;3;04/05/2026;15/05/2026;15/05/2026;09:16:20;1; R$ 15,95 ;CUST;ESTOQUE_AME;LPEIXOTO;;;;;;;;;1;UN;CDFL - CD FLORES;;0;1;1;AMEN;;;;0;0;0;;0;0;;;B;;;;0;UN;2026;;;S;WE;0;BRL;;;0;0;UN;UN;3,19;0;;
CDFL;4500121479;;;10;0;0;110527;PLASTICO POLASEAL A4;101;EM Entrada mercador.;180031563;1014316;5000211877;1;23/06/2025;01/07/2025;01/07/2025;08:26:40;6;396;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;6;UN;CDFL - CD FLORES;;0;6;6;AMEN;;;;0;0;0;;0;0;;;B;;;;0;UN;2025;;;S;WE;0;BRL;;;0;0;UN;UN;27,72;0;;
CDFL;4500150222;;;30;0;0;110649;CLIPE PAPEL AC NIQ TAM N 3/0;101;EM Entrada mercador.;180035472;1003813;5000257866;3;27/03/2026;02/04/2026;02/04/2026;11:44:29;10;39;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;10;CX;CDFL - CD FLORES;;0;10;10;AMEN;;;;0;0;0;;0;0;;;B;;;;0;CX;2026;;;S;WE;0;BRL;;;0;0;CX;CX;7,8;0;;
CDFL;4500150222;;;80;0;0;110708;EXTRATOR GRAMPOS ESPATULA AI 150MM;101;EM Entrada mercador.;180035472;1003813;5000257866;6;27/03/2026;02/04/2026;02/04/2026;11:44:29;10;14;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;10;UN;CDFL - CD FLORES;;0;10;10;AMEN;;;;0;0;0;;0;0;;;B;;;;0;UN;2026;;;S;WE;0;BRL;;;0;0;UN;UN;2,8;0;;
CDFL;4500129237;;;10;0;0;111008;TINTA ESM SINT BR AZ DEL REY 3,6L;101;EM Entrada mercador.;180032733;1012174;5000225223;1;08/09/2025;12/09/2025;12/09/2025;15:59:20;20;1.740,00;CUST;ESTOQUE_AME;MDCOSTA;;;;;;;;;20;UN;CDFL - CD FLORES;;0;20;20;AMEN;;;;0;0;0;;0;0;;;B;;;;0;UN;2025;;;S;WE;0;BRL;;;0;0;UN;UN;0;0;;
