CÓDIGO;DESCRIÇÃO;UDM;VALOR UNITÁRIO;"LEAD 
TIME";PLANEJADOR
110713;LONA IMPERM FERRAM LONIL DUPLA FACE 4X3M;UN;519,44;60;IDA
400243;TRAFO AER 3F 15KV 150KVA 220/127V 7TP;UN;39775,5;90;MONALIZA
802178;MARCADOR IND PLAS 60ML MET ESF 3MM AM;UN;13,79;60;IDA
402670;BANCO DE CAPACITOR 3F 15KV 600KVAR FIXO;UN;22631,14;60;ANTONIO
409778;BANCO DE CAPACITOR 3F 15KV 300KVAR AUTOM;UN;97337,23;60;ANTONIO
803598;BATERIA PARA TERMOVISORES 7.2V;UN;1634,57;60;ANTONIO
804842;BATERIA VEICULAR 100A;UN;1011,33;60;ANTONIO
409737;"CONJ MEDICAO 15KV; 70:1; 400-5A; USO EXT";UN;32700;60;ANTONIO
803254;BATERIA 12VCC SEL 24-28AH ISENTA MANUT;UN;268,81;60;ANTONIO
404172;"CONJ MEDICAO 15KV; 70:1; 100-5A; USO EXT";UN;30750;60;ANTONIO
404160;"CONJ MEDICAO 15KV; 70:1; 10-5A; USO EXT";UN;30750;60;ANTONIO
805491;BATERIA RADIO PORTATIL IP-57/67;UN;150;60;ANTONIO
404161;"CONJ MEDICAO 15KV; 70:1; 15-5A; USO EXT";UN;30750;60;ANTONIO
404170;"CONJ MEDICAO 15KV; 70:1; 200-5A; USO EXT";UN;30750;60;ANTONIO
404162;"CONJ MEDICAO 15KV; 70:1; 20-5A; USO EXT";UN;30750;60;ANTONIO
404164;"CONJ MEDICAO 15KV; 70:1; 30-5A; USO EXT";UN;30750;60;ANTONIO
802130;BATERIA MED. 1/2AA 3,6V 1,2AH S/T;UN;28;60;ANTONIO
805388;BAT. RECARREGAVEL 18650 3.7v 2200MAH;UN;25;60;ANTONIO
404168;"CONJ MEDICAO 15KV; 70:1; 60-5A; USO EXT";UN;30750;60;ANTONIO
805527;BATERIA MOEDA CR-2032-3V;UN;4;60;ANTONIO
403954;CABO AL CONCENTRICO 3F 3X50+50MM2;UN;47;90;ANTONIO
804663;CABO AL CONCENTRICO 3F 3X50+50MM2;UN;34,25;90;ANTONIO
400288;TRAFO AER 3F 15KV 112,5KVA 220/127V 7TP;UN;28827,07;90;MONALIZA
403929;RELOGIO SINCRONIZACAO SATELITE GPS RT430;UN;28000;60;IDA
402460;UNIDADE COMPUTACIONAL FANLESS P/ PAINEL;UN;26387,22;60;ANTONIO
404554;SWITCH ETHERNET;UN;26233,62;60;ANTONIO
804642;CABO AL CONCENTRICO 3F 3X35+35MM2;PEÇ;32,02;90;ANTONIO
404009;CABO AL CONCENTRICO 1F 1x16+16MM2;UN;5,13;90;ANTONIO
403642;CABO AL CONCENTRICO 2F 2X16+16MM2;UN;13,68;90;ANTONIO
403843;CABO AL CONCENTRICO 3F 3X16+16MM2;UN;16,61;90;ANTONIO
402627;RELIGADOR 1F AUTOMATICO 15KV 200A 4,2kA;UN;20900;60;ANTONIO
804638;CABO AL CONCENTRICO 2F 2X25+25MM2;PEÇ;15,05;90;ANTONIO
804633;CABO AL CONCENTRICO 2F 2X16+16MM2;UN;12,63;90;ANTONIO
407130;RELIGADOR 1F AUTOMATICO 15KV 200A 6,3kA;UN;18680;60;ANTONIO
804640;CABO AL CONCENTRICO 3F 3X16+16MM2;UN;12,3;90;ANTONIO
804637;CABO AL CONCENTRICO 3F 3X10+10MM2;UN;9,28;90;ANTONIO
403915;MEDIDOR CORRENTE REDE PRIMARIA;UN;16200;90;MONALIZA
407215;KIT SOBRESSALENTE PARA INVERSOR CC-CA;KG;15982,34;60;ANTONIO
402277;BANCO DE CAPACITOR 3F 15KV 300KVAR FIXO;UN;15868,82;60;ANTONIO
400073;TRAFO AER 3F 15KV 45KVA 220/127V 7TP;UN;15179,96;90;MONALIZA
804632;CABO AL CONCENTRICO 2F 2X10+10MM2;UN;8,78;90;ANTONIO
400385;BANCO DE CAPACITOR 3F 15KV 150KVAR FIXO;UN;14511,01;60;ANTONIO
402092;BANCO DE CAPACITOR 3F 15KV 75KVAR FIXO;UN;13724,31;60;ANTONIO
804666;CABO AL CONCENTRICO 1F 1x16+16MM2;UN;4,28;90;ANTONIO
400028;SWITCH OPTICO RUGGEDCOM 19P RSG2100;UN;12968,52;60;ANTONIO
408291;CABO AL CONCENTRICO 2F 2X25+25MM2;PEÇ;15,28;90;ANTONIO
803907;CABO DE AÇO REVESTIDOS DE COBRE 35MM²;UN;87,75;60;MONALIZA
401324;TRAFO AER 3F 15KV 30KVA 220/127V 7TP;UN;12375,72;90;MONALIZA
400733;CABO ELET BT 70MM2 CU PVC PT 0,6/1KV;UN;56,98;60;MONALIZA
800426;CABO ELET BT 70MM2 CU PVC PT 0,6/1KV;UN;56,98;60;MONALIZA
404468;CAPACITOR MONOPOLAR 700KVAR 8,66KV;UN;10272,6;60;ANTONIO
