material,estoque_total
110009,2.0
110010,2.0
110011,2.0
110020,40.0
110021,2.0
110026,24.0
110029,32.0
110036,2.0
110052,78.0
110062,146.0
110071,110.0
110086,2.0
110106,68.0
110109,11.0
110130,3.0
110140,2.0
110147,1.0
110164,1.0
110186,245.0
110191,13.0
110194,3.0
110195,28.0
110233,5.0
110235,5.0
110239,5.0
110244,30067.0
110253,20.0
110258,6.0
110261,6.0
110276,109.0
110277,4.0
110303,21.0
110305,18.0
110325,11.0
110336,20.0
110337,5.0
110341,3.0
110345,5.0
110348,100.0
110352,297.0
110370,3.0
110383,5.0
110401,81.0
110410,135.0
110411,8.0
110415,1.0
110441,1.0
110442,38.0
110452,2.0
110460,2.0
110463,1.0
110466,11.0
110467,4.0
110476,2.0
110494,5.0
110502,20.0
110518,113.0
110520,12.0
110526,1.0
110528,12.0
110536,40.0
110559,40.0
110560,55.0
110567,97.0
110578,15.0
110595,3.0
110614,9.0
110615,29.0
110620,3.0
110624,150.0
110630,33.0
110633,1.0
110657,14.0
110659,1.0
110661,6.0
110662,3.0
110665,3.0
110678,9.0
110893,300.0
111225,10.0
111772,1.0
111808,15.0
112702,1.0
112704,1.0
113996,25.0
113997,1.0
113998,11.0
114221,5.0
120000,3.0
120005,3.0
120007,44.0
120010,1614.0
120013,20.0
120016,66.0
120026,3.0
120038,49.0
120042,19.0
120044,18.0
120045,6.0
120048,6.0
120050,20.0
120051,13.0
120052,26.0
120060,35.0
120061,8.0
120062,21.0
120065,49.0
120066,2.0
120068,12.0
120074,23.0
120083,223.0
120089,24.0
120092,50.0
120094,47.0
120095,1841.0
120099,16.0
120100,126.0
120101,44.0
120107,15.0
120110,19.0
120112,10.0
120114,21.0
120117,30.0
120118,4.0
120123,10.0
120128,8.0
120131,4.0
120136,17.0
120139,16.0
120140,7.0
120141,23.0
120147,13.0
120150,132.0
120154,180.0
120158,4.0
120163,3.0
120164,5.0
120166,46.0
120167,3.0
120170,19.0
120173,3.0
120175,9.0
120181,25.0
120182,20.0
120184,86.0
120188,6.0
120195,44.0
120212,4.0
120224,300.0
120227,90.0
120242,30.0
120251,1.0
120253,4.0
120254,11.0
120255,21.0
120259,5.0
120260,8.0
120261,8.0
120272,5.0
120276,10.0
120284,119.0
120285,48.0
120295,1830.0
120296,69.0
120297,6.0
120298,150.0
120303,7.0
120304,11.0
120332,14.0
120334,22.0
120335,10.0
120336,20.0
120343,19.0
120344,15.0
120347,7.0
120348,8.0
120349,4.0
120361,24.0
120366,48.0
120392,7.0
120410,1.0
120421,2.0
120440,39.0
120441,11.0
120452,518.0
120453,4.0
120454,15.0
120455,4.0
120456,19.0
120457,10.0
120458,5.0
120459,6.0
120460,5.0
400008,30.0
400011,1242.0
400017,50.0
400022,13759.0
400023,1.0
400028,3.0
400034,3887.0
400040,44.0
400041,43.0
400042,9.0
400045,5.0
400050,6.0
400051,28.0
400054,35.0
400069,46.0
400072,6.0
400074,6.0
400083,1.0
400084,41.0
400091,1.0
400092,29.0
400100,1.0
400106,43.0
400107,317.0
400111,453.0
400114,24.0
400116,11.0
400122,3745.0
400130,1561.0
400132,25.0
400133,23.0
400137,500.0
400140,3457.0
400142,1060.0
400147,24.0
400153,6.0
400161,1.0
400177,1.0
400181,3105.0
400183,64.0
400192,3217.0
400193,1419.0
400202,4248.0
400210,2.0
400214,1.0
400224,104.0
400226,5.0
400228,1.0
400243,10.0
400247,1.0
400256,1.0
400258,19.0
400269,19.0
400275,27.0
400276,1.0
400282,1.0
400283,139.0
400288,73.0
400292,160.0
400297,2.0
400301,1183.0
400304,1.0
400307,6618.0
400316,758.0
400325,265.0
400330,24.0
400337,21.0
400342,5.0
400344,3.0
400349,10.0
400351,4613.0
400358,79.0
400361,24.0
400366,97.0
400373,17929.0
400375,55.0
400378,123.0
400380,22522.0
400385,5.0
400389,5.0
400391,7.0
400397,2.0
400403,1.0
400422,246.0
400427,73.0
400429,1.0
400433,45.0
400437,10.0
400442,1087.0
400443,2068.0
400446,2599.0
400450,15.0
400458,164.0
400460,936.0
400468,1229.0
400473,1102.0
400474,6073.0
400476,8.0
400484,2903.0
400487,1770.0
400492,975.0
400499,4.0
400505,256.0
400506,31.0
400507,647.0
400512,31.0
400518,2809.0
400523,2.0
400524,25.0
400527,3465.0
400531,616.0
400532,845.0
400534,167.0
400543,2200.0
400545,1569.0
400546,351.0
400547,2200.0
400554,4.0
400556,11.0
400574,3.0
400588,611.0
400594,2698.0
400603,7418.5
400623,2.0
400628,6.0
400635,98.0
400643,41.0
400651,1151.0
400652,18.0
400655,586.0
400659,45.0
400661,14.0
400665,2.0
400667,594.0
400669,2935.0
400670,21.0
400673,37186.0
400674,10.0
400678,7687.0
400680,2400.0
400683,13091.0
400685,51.0
400688,998.0
400690,1.0
400691,35.0
400694,2488.0
400695,188.0
400698,3.0
400699,184.0
400703,80.0
400708,17373.0
400709,29.0
400712,200.0
400713,15621.0
400716,1595.0
400718,227.0
400719,2739.0
400723,36.0
400736,1566.0
400744,65.0
400747,25.0
400750,525.0
400751,2.0
400758,23.0
400760,200.0
400771,175.0
400778,9139.0
400782,24.0
400790,1145.0
400793,9760.0
400797,15.0
400805,962.0
400806,44.0
400809,3753.0
400813,44495.0
400815,4484.0
400821,3519.0
400822,747.0
400827,1625.0
400828,3065.0
400832,30.0
400841,1.0
400848,505.0
400851,845.0
400855,1163.0
400860,2018.0
400867,149.0
400880,5426.0
400889,92.0
