material,demanda_total,valor_unitario,valor_total,pct_individual,pct_acumulado,classe
400040,1515.0,20986.27,31794199.05,19.92,19.92,A
400288,759.0,28827.07,21879746.13,13.71,33.62,A
400243,429.0,39775.5,17063689.5,10.69,44.31,A
400072,1732.0,4586.64,7944060.48,4.98,49.29,A
401127,2786.0,2062.0,5744732.0,3.6,52.89,A
400073,330.0,15179.96,5009386.8,3.14,56.02,A
404234,3308.0,1493.7,4941159.600000001,3.1,59.12,A
803470,9912.0,436.05,4322127.600000001,2.71,61.83,A
400224,2498.0,1620.0,4046760.0,2.53,64.36,A
404160,126.0,30750.0,3874500.0,2.43,66.79,A
404159,101.0,30750.0,3105750.0,1.95,68.73,A
401857,6976.0,380.0,2650880.0,1.66,70.39,A
400152,2664.0,950.8,2532931.1999999997,1.59,71.98,A
400051,41.0,55600.8,2279632.8000000003,1.43,73.41,A
401324,169.0,12375.72,2091496.68,1.31,74.72,A
400968,915.0,2280.12,2086309.7999999998,1.31,76.03,A
402847,1505.0,1295.0,1948975.0,1.22,77.25,A
404161,60.0,30750.0,1845000.0,1.16,78.4,A
400758,3116.0,555.84,1731997.4400000002,1.08,79.49,A
800817,4436.0,380.0,1685680.0,1.06,80.54,B
402650,912.0,1750.0,1596000.0,1.0,81.54,B
401193,204.0,7279.45,1485007.8,0.93,82.47,B
401959,7365.0,194.5,1432492.5,0.9,83.37,B
401349,263.0,4822.69,1268367.47,0.79,84.16,B
801112,6506.0,194.5,1265417.0,0.79,84.96,B
403077,2226.0,565.87,1259626.62,0.79,85.75,B
400937,12183.913,100.0,1218391.3,0.76,86.51,B
403161,2400.0,500.0,1200000.0,0.75,87.26,B
409302,2400.0,495.0,1188000.0,0.74,88.01,B
402447,205.0,5491.95,1125849.75,0.71,88.71,B
404167,31.0,30750.0,953250.0,0.6,89.31,B
401296,264.0,3504.41,925164.24,0.58,89.89,B
404166,29.0,30750.0,891750.0,0.56,90.45,B
804115,11488.0,70.83,813695.04,0.51,90.96,B
402816,507.0,1538.99,780267.93,0.49,91.44,B
402318,16358.465,47.31,773918.97915,0.48,91.93,B
404172,21.0,30750.0,645750.0,0.4,92.33,B
802018,1920.0,327.75,629280.0,0.39,92.73,B
402423,132.0,4592.96,606270.72,0.38,93.11,B
402132,58.0,10154.77,588976.66,0.37,93.48,B
404162,19.0,30750.0,584250.0,0.37,93.84,B
404164,17.0,30750.0,522750.0,0.33,94.17,B
400474,13692.22,36.0,492919.92,0.31,94.48,B
403579,13438.485,36.49,490370.31765000004,0.31,94.79,B
404282,2244.0,195.36,438387.84,0.27,95.06,C
404169,14.0,30750.0,430500.0,0.27,95.33,C
404170,12.0,30750.0,369000.0,0.23,95.56,C
403337,388.0,950.8,368910.39999999997,0.23,95.79,C
400790,18863.73,18.86,355769.94779999997,0.22,96.02,C
407355,1688.0,194.5,328316.0,0.21,96.22,C
401004,16.0,19886.04,318176.64,0.2,96.42,C
400210,68.0,4500.0,306000.0,0.19,96.61,C
401260,75.0,3687.55,276566.25,0.17,96.78,C
409696,5405.4,50.7,274053.77999999997,0.17,96.96,C
403663,900.0,285.18,256662.0,0.16,97.12,C
403656,9908.94,25.41,251786.16540000003,0.16,97.28,C
400995,92.0,2715.29,249806.68,0.16,97.43,C
800054,12968.0,18.86,244576.47999999998,0.15,97.58,C
401505,2461.0,85.0,209185.0,0.13,97.72,C
400487,3654.0,56.94,208058.75999999998,0.13,97.85,C
402098,48.0,4293.65,206095.19999999998,0.13,97.98,C
401566,8874.727,18.69,165868.64763000002,0.1,98.08,C
401927,7981.0,20.69,165126.89,0.1,98.18,C
400988,54.0,2714.44,146579.76,0.09,98.27,C
403693,900.0,160.05,144045.0,0.09,98.36,C
800058,2976.0,47.31,140794.56,0.09,98.45,C
800262,350.0,385.13,134795.5,0.08,98.54,C
802238,2400.0,54.8,131520.0,0.08,98.62,C
404114,224.0,575.41,128891.84,0.08,98.7,C
804050,6192.0,20.0,123840.0,0.08,98.78,C
800889,4254.48,28.67,121975.94159999999,0.08,98.85,C
403327,6000.0,20.0,120000.0,0.08,98.93,C
400164,3632.0299999999997,29.97,108851.93909999999,0.07,99.0,C
800852,4890.0,21.63,105770.7,0.07,99.06,C
403390,6095.369000000001,16.33,99537.37577,0.06,99.13,C
404171,3.0,32300.0,96900.0,0.06,99.19,C
400710,2682.0,35.88,96230.16,0.06,99.25,C
800762,2750.0,28.0,77000.0,0.05,99.3,C
800041,3590.0,21.05,75569.5,0.05,99.34,C
400443,10016.481,7.43,74422.45383,0.05,99.39,C
401834,6660.0,10.37,69064.2,0.04,99.43,C
800344,2013.0,31.2,62805.6,0.04,99.47,C
403642,4484.602999999999,13.68,61349.36903999999,0.04,99.51,C
402587,1810.0,31.2,56472.0,0.04,99.55,C
403770,1800.0,30.7,55260.0,0.03,99.58,C
800496,2658.0,20.69,54994.020000000004,0.03,99.62,C
800676,1500.0,35.88,53820.00000000001,0.03,99.65,C
804642,1500.0,32.02,48030.00000000001,0.03,99.68,C
404009,9007.741,5.13,46209.71133,0.03,99.71,C
801189,4190.0,10.59,44372.1,0.03,99.74,C
409260,2496.0,17.5,43680.0,0.03,99.76,C
408332,8.0,5199.8,41598.4,0.03,99.79,C
403513,9366.044,4.35,40742.291399999995,0.03,99.81,C
400442,7334.999,5.39,39535.644609999996,0.02,99.84,C
404168,1.0,30750.0,30750.0,0.02,99.86,C
801373,2962.48,10.37,30720.917599999997,0.02,99.88,C
800775,3090.0,7.57,23391.3,0.01,99.89,C
800062,3850.0,5.39,20751.5,0.01,99.91,C
800105,326.0,61.76,20133.76,0.01,99.92,C
403209,3655.591,5.49,20069.19459,0.01,99.93,C
409259,220.0,74.8,16456.0,0.01,99.94,C
402149,72.0,168.0,12096.0,0.01,99.95,C
409258,246.0,46.1,11340.6,0.01,99.96,C
802138,200.0,54.0,10800.0,0.01,99.96,C
802141,200.0,54.0,10800.0,0.01,99.97,C
802158,200.0,54.0,10800.0,0.01,99.98,C
800804,3090.0,3.25,10042.5,0.01,99.98,C
801185,2500.0,3.71,9275.0,0.01,99.99,C
800569,38.0,168.0,6384.0,0.0,99.99,C
804882,252.0,24.48,6168.96,0.0,100.0,C
801314,30.0,150.0,4500.0,0.0,100.0,C
801213,158.0,12.27,1938.6599999999999,0.0,100.0,C
800470,1380.0,0.12,165.6,0.0,100.0,C
404040,58.17,0.18,10.4706,0.0,100.0,C
801011,720.0,0.0,0.0,0.0,100.0,C
801020,644.0,0.0,0.0,0.0,100.0,C
801010,1454.48,0.0,0.0,0.0,100.0,C
801006,200.0,0.0,0.0,0.0,100.0,C
801018,50.0,0.0,0.0,0.0,100.0,C
801017,500.0,0.0,0.0,0.0,100.0,C
801047,3935.12,0.0,0.0,0.0,100.0,C
801044,254.0,0.0,0.0,0.0,100.0,C
800894,7812.246,0.0,0.0,0.0,100.0,C
800897,316.0,0.0,0.0,0.0,100.0,C
800901,196.0,0.0,0.0,0.0,100.0,C
800906,288.0,0.0,0.0,0.0,100.0,C
800917,302.0,0.0,0.0,0.0,100.0,C
800922,5180.0,0.0,0.0,0.0,100.0,C
800928,6.0,0.0,0.0,0.0,100.0,C
800929,775.0,0.0,0.0,0.0,100.0,C
800944,13804.171999999999,0.0,0.0,0.0,100.0,C
800950,92.0,0.0,0.0,0.0,100.0,C
800965,542.0,0.0,0.0,0.0,100.0,C
800959,7776.0,0.0,0.0,0.0,100.0,C
800963,120.0,0.0,0.0,0.0,100.0,C
800966,216.0,0.0,0.0,0.0,100.0,C
800975,4366.0,0.0,0.0,0.0,100.0,C
800976,182.0,0.0,0.0,0.0,100.0,C
800977,9.0,0.0,0.0,0.0,100.0,C
800981,2960.0,0.0,0.0,0.0,100.0,C
800982,4720.0,0.0,0.0,0.0,100.0,C
800991,374.0,0.0,0.0,0.0,100.0,C
800999,500.0,0.0,0.0,0.0,100.0,C
800952,686.0,0.0,0.0,0.0,100.0,C
801316,740.0,0.0,0.0,0.0,100.0,C
801313,5643.0,0.0,0.0,0.0,100.0,C
801311,326.0,0.0,0.0,0.0,100.0,C
801305,62.0,0.0,0.0,0.0,100.0,C
801304,424.0,0.0,0.0,0.0,100.0,C
801303,2941.896,0.0,0.0,0.0,100.0,C
801277,100.0,0.0,0.0,0.0,100.0,C
801274,1392.0,0.0,0.0,0.0,100.0,C
801157,500.0,0.0,0.0,0.0,100.0,C
801267,2.0,0.0,0.0,0.0,100.0,C
801263,1500.0,0.0,0.0,0.0,100.0,C
801256,242.0,0.0,0.0,0.0,100.0,C
801250,500.0,0.0,0.0,0.0,100.0,C
801240,2664.0,0.0,0.0,0.0,100.0,C
801237,192.0,0.0,0.0,0.0,100.0,C
801233,8224.076000000001,0.0,0.0,0.0,100.0,C
801232,3038.0,0.0,0.0,0.0,100.0,C
801272,14.0,0.0,0.0,0.0,100.0,C
801720,21.0,0.0,0.0,0.0,100.0,C
801664,1656.0,0.0,0.0,0.0,100.0,C
801635,1056.0,0.0,0.0,0.0,100.0,C
801615,8.0,0.0,0.0,0.0,100.0,C
801612,2064.0,0.0,0.0,0.0,100.0,C
801593,62.0,0.0,0.0,0.0,100.0,C
801522,624.0,0.0,0.0,0.0,100.0,C
801400,11466.0,0.0,0.0,0.0,100.0,C
801341,240.0,0.0,0.0,0.0,100.0,C
801391,1286.0,0.0,0.0,0.0,100.0,C
801386,48.0,0.0,0.0,0.0,100.0,C
801379,130.0,0.0,0.0,0.0,100.0,C
801376,374.0,0.0,0.0,0.0,100.0,C
801375,6614.336,0.0,0.0,0.0,100.0,C
801374,424.0,0.0,0.0,0.0,100.0,C
801352,9985.792,0.0,0.0,0.0,100.0,C
801347,120.0,0.0,0.0,0.0,100.0,C
801346,278.0,0.0,0.0,0.0,100.0,C
801398,76.0,0.0,0.0,0.0,100.0,C
801146,4468.0,0.0,0.0,0.0,100.0,C
801135,868.0,0.0,0.0,0.0,100.0,C
801128,90.0,0.0,0.0,0.0,100.0,C
801125,110.0,0.0,0.0,0.0,100.0,C
801114,4598.0,0.0,0.0,0.0,100.0,C
801109,6.0,0.0,0.0,0.0,100.0,C
801098,14.0,0.0,0.0,0.0,100.0,C
801087,3676.0,0.0,0.0,0.0,100.0,C
801228,1286.0,0.0,0.0,0.0,100.0,C
801081,974.0,0.0,0.0,0.0,100.0,C
801079,8224.14,0.0,0.0,0.0,100.0,C
801077,154.0,0.0,0.0,0.0,100.0,C
801068,144.0,0.0,0.0,0.0,100.0,C
801066,62.0,0.0,0.0,0.0,100.0,C
801064,10062.0,0.0,0.0,0.0,100.0,C
801062,614.0,0.0,0.0,0.0,100.0,C
801061,136.0,0.0,0.0,0.0,100.0,C
801049,5.0,0.0,0.0,0.0,100.0,C
801083,1148.0,0.0,0.0,0.0,100.0,C
801225,1310.0,0.0,0.0,0.0,100.0,C
801223,90.0,0.0,0.0,0.0,100.0,C
801220,7842.0,0.0,0.0,0.0,100.0,C
801216,3926.0,0.0,0.0,0.0,100.0,C
801215,1756.0,0.0,0.0,0.0,100.0,C
801210,192.0,0.0,0.0,0.0,100.0,C
801206,62.0,0.0,0.0,0.0,100.0,C
801203,62.0,0.0,0.0,0.0,100.0,C
801154,422.0,0.0,0.0,0.0,100.0,C
801199,3028.0,0.0,0.0,0.0,100.0,C
801195,2460.0,0.0,0.0,0.0,100.0,C
801191,182.0,0.0,0.0,0.0,100.0,C
801186,4876.0,0.0,0.0,0.0,100.0,C
801182,542.0,0.0,0.0,0.0,100.0,C
801178,12126.0,0.0,0.0,0.0,100.0,C
801166,2894.0,0.0,0.0,0.0,100.0,C
801164,2810.0,0.0,0.0,0.0,100.0,C
801161,30.0,0.0,0.0,0.0,100.0,C
801202,144.0,0.0,0.0,0.0,100.0,C
800289,1200.0,0.0,0.0,0.0,100.0,C
800274,388.0,0.0,0.0,0.0,100.0,C
800272,422.0,0.0,0.0,0.0,100.0,C
800269,20.0,0.0,0.0,0.0,100.0,C
800266,466.0,0.0,0.0,0.0,100.0,C
800263,182.0,0.0,0.0,0.0,100.0,C
800260,134.0,0.0,0.0,0.0,100.0,C
800256,504.0,0.0,0.0,0.0,100.0,C
800836,30.0,0.0,0.0,0.0,100.0,C
800243,1148.0,0.0,0.0,0.0,100.0,C
800239,62.0,0.0,0.0,0.0,100.0,C
800228,3436.0,0.0,0.0,0.0,100.0,C
800226,62.0,0.0,0.0,0.0,100.0,C
800223,20.0,0.0,0.0,0.0,100.0,C
800215,1091.12,0.0,0.0,0.0,100.0,C
800203,5.0,0.0,0.0,0.0,100.0,C
800202,672.0,0.0,0.0,0.0,100.0,C
800254,240.0,0.0,0.0,0.0,100.0,C
800392,158.0,0.0,0.0,0.0,100.0,C
800372,134.0,0.0,0.0,0.0,100.0,C
800371,192.0,0.0,0.0,0.0,100.0,C
800369,194.0,0.0,0.0,0.0,100.0,C
800364,360.0,0.0,0.0,0.0,100.0,C
