material,classe,periodo,demanda,entrada_pedidos_existentes,entrada_pedidos_novos,total_entradas,estoque_projetado,estoque_seguranca,necessidade,pedido_gerado,periodo_entrega,bloqueado_classe_c
MAT001,C,2026-03,450,0,0,0,-100,1280,1380,1380,2026-04,False
MAT001,C,2026-04,400,500,1380,1880,1380,1240,0,0,,False
MAT001,C,2026-05,430,0,0,0,950,1230,280,280,2026-06,False
MAT001,C,2026-06,410,0,280,280,820,1240,420,0,,True
MAT001,C,2026-07,390,0,0,0,430,1290,860,0,,True
MAT001,C,2026-08,440,0,0,0,-10,1320,1330,0,,True
MAT001,C,2026-09,460,0,0,0,-470,1280,1750,0,,True
MAT001,C,2026-10,420,0,0,0,-890,1320,2210,0,,True
MAT001,C,2026-11,400,0,0,0,-1290,900,2190,0,,True
MAT001,C,2026-12,500,0,0,0,-1790,500,2290,0,,True
MAT001,C,2027-01,0,0,0,0,-1790,0,1790,0,,True
MAT001,C,2027-02,0,0,0,0,-1790,0,1790,0,,True
MAT002,A,2026-03,85,100,0,100,95,280,185,185,2026-04,False
MAT002,A,2026-04,100,0,185,185,180,305,125,125,2026-05,False
MAT002,A,2026-05,95,50,125,175,260,310,50,50,2026-06,False
MAT002,A,2026-06,110,0,50,50,200,305,105,105,2026-07,False
MAT002,A,2026-07,105,0,105,105,200,275,75,75,2026-08,False
MAT002,A,2026-08,90,0,75,75,185,245,60,60,2026-09,False
MAT002,A,2026-09,80,0,60,60,165,225,60,60,2026-10,False
MAT002,A,2026-10,75,0,60,60,150,205,55,55,2026-11,False
MAT002,A,2026-11,70,0,55,55,135,130,0,0,,False
MAT002,A,2026-12,60,0,0,0,75,60,0,0,,False
MAT002,A,2027-01,0,0,0,0,75,0,0,0,,False
MAT002,A,2027-02,0,0,0,0,75,0,0,0,,False
MAT003,B,2026-03,75,0,0,0,45,240,195,195,2026-04,False
MAT003,B,2026-04,80,0,195,195,160,235,75,75,2026-05,False
MAT003,B,2026-05,85,80,75,155,230,220,0,0,,False
MAT003,B,2026-06,70,0,0,0,160,195,35,35,2026-07,False
MAT003,B,2026-07,65,0,35,35,130,195,65,65,2026-08,False
MAT003,B,2026-08,60,0,65,65,135,205,70,70,2026-09,False
MAT003,B,2026-09,70,0,70,70,135,225,90,90,2026-10,False
MAT003,B,2026-10,75,0,90,90,150,220,70,70,2026-11,False
MAT003,B,2026-11,80,0,70,70,140,145,5,5,2026-12,False
MAT003,B,2026-12,65,0,5,5,80,65,0,0,,False
MAT003,B,2027-01,0,0,0,0,80,0,0,0,,False
MAT003,B,2027-02,0,0,0,0,80,0,0,0,,False
MAT004,B,2026-03,60,0,0,0,30,165,135,135,2026-04,False
MAT004,B,2026-04,55,100,135,235,210,150,0,0,,False
MAT004,B,2026-05,50,0,0,0,160,145,0,0,,False
MAT004,B,2026-06,45,0,0,0,115,150,35,35,2026-07,False
MAT004,B,2026-07,50,0,35,35,100,165,65,65,2026-08,False
MAT004,B,2026-08,55,0,65,65,110,170,60,60,2026-09,False
MAT004,B,2026-09,60,0,60,60,110,165,55,55,2026-10,False
MAT004,B,2026-10,55,0,55,55,110,150,40,40,2026-11,False
MAT004,B,2026-11,50,0,40,40,100,95,0,0,,False
MAT004,B,2026-12,45,0,0,0,55,45,0,0,,False
MAT004,B,2027-01,0,0,0,0,55,0,0,0,,False
MAT004,B,2027-02,0,0,0,0,55,0,0,0,,False
MAT005,A,2026-03,50,0,0,0,10,135,125,125,2026-04,False
MAT005,A,2026-04,45,50,125,175,140,120,0,0,,False
MAT005,A,2026-05,40,0,0,0,100,115,15,15,2026-06,False
MAT005,A,2026-06,35,0,15,15,80,120,40,40,2026-07,False
MAT005,A,2026-07,40,0,40,40,80,135,55,55,2026-08,False
MAT005,A,2026-08,45,0,55,55,90,140,50,50,2026-09,False
MAT005,A,2026-09,50,0,50,50,90,135,45,45,2026-10,False
MAT005,A,2026-10,45,0,45,45,90,130,40,40,2026-11,False
MAT005,A,2026-11,40,0,40,40,90,85,0,0,,False
MAT005,A,2026-12,45,0,0,0,45,45,0,0,,False
MAT005,A,2027-01,0,0,0,0,45,0,0,0,,False
MAT005,A,2027-02,0,0,0,0,45,0,0,0,,False
MAT006,C,2026-03,40,0,0,0,10,105,95,95,2026-04,False
MAT006,C,2026-04,35,0,95,95,70,90,20,20,2026-05,False
MAT006,C,2026-05,30,0,20,20,60,85,25,0,,True
MAT006,C,2026-06,25,0,0,0,35,90,55,0,,True
MAT006,C,2026-07,30,0,0,0,5,105,100,0,,True
MAT006,C,2026-08,35,0,0,0,-30,110,140,0,,True
MAT006,C,2026-09,40,0,0,0,-70,105,175,0,,True
MAT006,C,2026-10,35,0,0,0,-105,100,205,0,,True
MAT006,C,2026-11,30,0,0,0,-135,65,200,0,,True
MAT006,C,2026-12,35,0,0,0,-170,35,205,0,,True
MAT006,C,2027-01,0,0,0,0,-170,0,170,0,,True
MAT006,C,2027-02,0,0,0,0,-170,0,170,0,,True
MAT007,C,2026-03,170,0,0,0,80,560,480,480,2026-04,False
MAT007,C,2026-04,200,0,480,480,360,570,210,210,2026-05,False
MAT007,C,2026-05,190,0,210,210,380,540,160,0,,True
MAT007,C,2026-06,180,0,0,0,200,510,310,0,,True
MAT007,C,2026-07,170,0,0,0,30,480,450,0,,True
MAT007,C,2026-08,160,0,0,0,-130,470,600,0,,True
MAT007,C,2026-09,150,0,0,0,-280,490,770,0,,True
MAT007,C,2026-10,160,0,0,0,-440,540,980,0,,True
MAT007,C,2026-11,180,0,0,0,-620,380,1000,0,,True
MAT007,C,2026-12,200,0,0,0,-820,200,1020,0,,True
MAT007,C,2027-01,0,0,0,0,-820,0,820,0,,True
MAT007,C,2027-02,0,0,0,0,-820,0,820,0,,True
MAT008,A,2026-03,22,0,0,0,3,56,53,53,2026-04,False
MAT008,A,2026-04,18,30,53,83,68,49,0,0,,False
MAT008,A,2026-05,16,0,0,0,52,48,0,0,,False
MAT008,A,2026-06,15,0,0,0,37,51,14,14,2026-07,False
MAT008,A,2026-07,17,0,14,14,34,54,20,20,2026-08,False
MAT008,A,2026-08,19,0,20,20,35,53,18,18,2026-09,False
MAT008,A,2026-09,18,0,18,18,35,49,14,14,2026-10,False
MAT008,A,2026-10,16,0,14,14,33,45,12,12,2026-11,False
MAT008,A,2026-11,15,0,12,12,30,29,0,0,,False
MAT008,A,2026-12,14,0,0,0,16,14,0,0,,False
MAT008,A,2027-01,0,0,0,0,16,0,0,0,,False
MAT008,A,2027-02,0,0,0,0,16,0,0,0,,False
MAT009,A,2026-03,14,20,0,20,26,37,11,11,2026-04,False
MAT009,A,2026-04,12,0,11,11,25,33,8,8,2026-05,False
MAT009,A,2026-05,11,0,8,8,22,32,10,10,2026-06,False
MAT009,A,2026-06,10,0,10,10,22,34,12,12,2026-07,False
MAT009,A,2026-07,11,0,12,12,23,36,13,13,2026-08,False
MAT009,A,2026-08,13,0,13,13,23,36,13,13,2026-09,False
MAT009,A,2026-09,12,0,13,13,24,33,9,9,2026-10,False
MAT009,A,2026-10,11,0,9,9,22,30,8,8,2026-11,False
MAT009,A,2026-11,10,0,8,8,20,19,0,0,,False
MAT009,A,2026-12,9,0,0,0,11,9,0,0,,False
MAT009,A,2027-01,0,0,0,0,11,0,0,0,,False
MAT009,A,2027-02,0,0,0,0,11,0,0,0,,False
MAT010,B,2026-03,85,0,0,0,65,270,205,205,2026-04,False
MAT010,B,2026-04,90,200,205,405,380,270,0,0,,False
MAT010,B,2026-05,95,0,0,0,285,260,0,0,,False
MAT010,B,2026-06,85,0,0,0,200,240,40,40,2026-07,False
MAT010,B,2026-07,80,0,40,40,160,235,75,75,2026-08,False
MAT010,B,2026-08,75,0,75,75,160,245,85,85,2026-09,False
MAT010,B,2026-09,80,0,85,85,165,265,100,100,2026-10,False
MAT010,B,2026-10,90,0,100,100,175,285,110,110,2026-11,False
MAT010,B,2026-11,95,0,110,110,190,195,5,5,2026-12,False
MAT010,B,2026-12,100,0,5,5,95,100,5,5,2027-01,False
MAT010,B,2027-01,0,0,5,5,100,0,0,0,,False
MAT010,B,2027-02,0,0,0,0,100,0,0,0,,False
