material,descricao,classe,periodo_necessidade,data_pedido,lead_time_dias,data_chegada,periodo_entrega,quantidade
110057,PAPEL AUTO ADES AM 76X76MM 100FL,C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
110077,TESOURA MULTIUSO AI CABO PLAS 21CM,C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
110091,COLA PLAST BR ACET POLIV,C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
110097,"APONTADOR LAPIS, COM DEPOSITO",C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
110157,EXTRATOR GRAMPO ESPAT AI 15C,C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
110158,ESCADA FBV EXT 420X720MM 23DEG 454KG,C,2026-05,01/05/2026,30,01/06/2026,2026-06,16
110159,CLIPE PAPEL AC NIQ TAM 6/0,C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
110182,CARREGADOR DE PILHA BIVOLT,C,2026-04,01/04/2026,30,01/05/2026,2026-05,2
110185,CANETA ESFER AZ 1MM EMB C/50UN,C,2026-10,01/10/2026,30,01/11/2026,2026-11,20
110210,"BORRACHA DES PLAST BR 44X22,5X12MM",C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
110215,CAIXA ARQUIVO PLAST CORRUG 360X135X250MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,300
110248,REGUA PLAS TRANSP 40CM ESC MM,C,2026-10,01/10/2026,30,01/11/2026,2026-11,40
110256,ENVELOPE CORRES PAP 80G/M2 NT 410X310MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,40
110282,FITA ADES PVC TRANSP 50MMX50M,C,2026-10,01/10/2026,30,01/11/2026,2026-11,60
110288,PILHA RECARREGAVEL PEQUENA AA,C,2026-04,01/04/2026,30,01/05/2026,2026-05,12
110356,PASTA L PLAST AZ 31X22CM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,40
110384,ALICATE UNIV 8P ACR FORJ,C,2026-03,25/03/2026,30,24/04/2026,2026-04,12
110384,ALICATE UNIV 8P ACR FORJ,C,2026-08,01/08/2026,30,01/09/2026,2026-09,6
110404,ENVELOPE CORRES PAP 80G/M2 NT 340X240MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,40
110418,DISCO CORTE ACO 7P,C,2026-03,25/03/2026,30,24/04/2026,2026-04,200
110487,BOLSA FERRAM LONA VD 500X200X380MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,12
110487,BOLSA FERRAM LONA VD 500X200X380MM,C,2026-08,01/08/2026,30,01/09/2026,2026-09,6
110555,CLIPE ACO NIQ N 2/0 CX 50 UM,C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
110557,GRAMPO AC COB 26/6 CX 5000UN,C,2026-10,01/10/2026,30,01/11/2026,2026-11,30
110649,CLIPE PAPEL AC NIQ TAM N 3/0,C,2026-03,25/03/2026,30,24/04/2026,2026-04,20
110649,CLIPE PAPEL AC NIQ TAM N 3/0,C,2026-10,01/10/2026,30,01/11/2026,2026-11,20
110690,PINCEL MARC PERM REC PONTA RET/CHANF PT,C,2026-10,01/10/2026,30,01/11/2026,2026-11,40
110708,EXTRATOR GRAMPOS ESPATULA AI 150MM,C,2026-03,25/03/2026,30,24/04/2026,2026-04,20
110713,LONA IMPERM FERRAM LONIL DUPLA FACE 4X3M,C,2026-03,25/03/2026,30,24/04/2026,2026-04,9
110713,LONA IMPERM FERRAM LONIL DUPLA FACE 4X3M,C,2026-05,01/05/2026,30,01/06/2026,2026-06,3
110719,PRANCHETA PORT ACR FUME 230X340X3MM,C,2026-10,01/10/2026,30,01/11/2026,2026-11,40
