material,periodo_entrega,endereco,qtd_rateada,proporcao_pct
MAT001,2026-04,A-01-01,591.43,42.86
MAT001,2026-04,A-01-02,315.43,22.86
MAT001,2026-04,B-03-05,473.14,34.29
MAT001,2026-06,A-01-01,120.0,42.86
MAT001,2026-06,A-01-02,64.0,22.86
MAT001,2026-06,B-03-05,96.0,34.29
MAT002,2026-04,A-02-01,69.38,37.5
MAT002,2026-04,C-01-02,115.62,62.5
MAT002,2026-05,A-02-01,46.88,37.5
MAT002,2026-05,C-01-02,78.12,62.5
MAT002,2026-06,A-02-01,18.75,37.5
MAT002,2026-06,C-01-02,31.25,62.5
MAT002,2026-07,A-02-01,39.38,37.5
MAT002,2026-07,C-01-02,65.62,62.5
MAT002,2026-08,A-02-01,28.12,37.5
MAT002,2026-08,C-01-02,46.88,62.5
MAT002,2026-09,A-02-01,22.5,37.5
MAT002,2026-09,C-01-02,37.5,62.5
MAT002,2026-10,A-02-01,22.5,37.5
MAT002,2026-10,C-01-02,37.5,62.5
MAT002,2026-11,A-02-01,20.62,37.5
MAT002,2026-11,C-01-02,34.38,62.5
MAT003,2026-04,B-01-01,113.75,58.33
MAT003,2026-04,B-01-02,81.25,41.67
MAT003,2026-05,B-01-01,43.75,58.33
MAT003,2026-05,B-01-02,31.25,41.67
MAT003,2026-07,B-01-01,20.42,58.33
MAT003,2026-07,B-01-02,14.58,41.67
MAT003,2026-08,B-01-01,37.92,58.33
MAT003,2026-08,B-01-02,27.08,41.67
MAT003,2026-09,B-01-01,40.83,58.33
MAT003,2026-09,B-01-02,29.17,41.67
MAT003,2026-10,B-01-01,52.5,58.33
MAT003,2026-10,B-01-02,37.5,41.67
MAT003,2026-11,B-01-01,40.83,58.33
MAT003,2026-11,B-01-02,29.17,41.67
MAT003,2026-12,B-01-01,2.92,58.33
MAT003,2026-12,B-01-02,2.08,41.67
MAT004,2026-04,A-03-01,82.5,61.11
MAT004,2026-04,A-03-02,52.5,38.89
MAT004,2026-07,A-03-01,21.39,61.11
MAT004,2026-07,A-03-02,13.61,38.89
MAT004,2026-08,A-03-01,39.72,61.11
MAT004,2026-08,A-03-02,25.28,38.89
MAT004,2026-09,A-03-01,36.67,61.11
MAT004,2026-09,A-03-02,23.33,38.89
MAT004,2026-10,A-03-01,33.61,61.11
MAT004,2026-10,A-03-02,21.39,38.89
MAT004,2026-11,A-03-01,24.44,61.11
MAT004,2026-11,A-03-02,15.56,38.89
MAT005,2026-04,C-02-01,41.67,33.33
MAT005,2026-04,C-02-02,83.33,66.67
MAT005,2026-06,C-02-01,5.0,33.33
MAT005,2026-06,C-02-02,10.0,66.67
MAT005,2026-07,C-02-01,13.33,33.33
MAT005,2026-07,C-02-02,26.67,66.67
MAT005,2026-08,C-02-01,18.33,33.33
MAT005,2026-08,C-02-02,36.67,66.67
MAT005,2026-09,C-02-01,16.67,33.33
MAT005,2026-09,C-02-02,33.33,66.67
MAT005,2026-10,C-02-01,15.0,33.33
MAT005,2026-10,C-02-02,30.0,66.67
MAT005,2026-11,C-02-01,13.33,33.33
MAT005,2026-11,C-02-02,26.67,66.67
MAT006,2026-04,D-01-01,57.0,60.0
MAT006,2026-04,D-01-02,38.0,40.0
MAT006,2026-05,D-01-01,12.0,60.0
MAT006,2026-05,D-01-02,8.0,40.0
MAT007,2026-04,A-01-03,192.0,40.0
MAT007,2026-04,A-01-04,192.0,40.0
MAT007,2026-04,B-02-01,96.0,20.0
MAT007,2026-05,A-01-03,84.0,40.0
MAT007,2026-05,A-01-04,84.0,40.0
MAT007,2026-05,B-02-01,42.0,20.0
MAT008,2026-04,E-01-01,31.8,60.0
MAT008,2026-04,E-01-02,21.2,40.0
MAT008,2026-07,E-01-01,8.4,60.0
MAT008,2026-07,E-01-02,5.6,40.0
MAT008,2026-08,E-01-01,12.0,60.0
MAT008,2026-08,E-01-02,8.0,40.0
MAT008,2026-09,E-01-01,10.8,60.0
MAT008,2026-09,E-01-02,7.2,40.0
MAT008,2026-10,E-01-01,8.4,60.0
MAT008,2026-10,E-01-02,5.6,40.0
MAT008,2026-11,E-01-01,7.2,60.0
MAT008,2026-11,E-01-02,4.8,40.0
MAT009,2026-04,F-01-01,11.0,100.0
MAT009,2026-05,F-01-01,8.0,100.0
MAT009,2026-06,F-01-01,10.0,100.0
MAT009,2026-07,F-01-01,12.0,100.0
MAT009,2026-08,F-01-01,13.0,100.0
MAT009,2026-09,F-01-01,13.0,100.0
MAT009,2026-10,F-01-01,9.0,100.0
MAT009,2026-11,F-01-01,8.0,100.0
MAT010,2026-04,G-01-01,109.33,53.33
MAT010,2026-04,G-01-02,95.67,46.67
MAT010,2026-07,G-01-01,21.33,53.33
MAT010,2026-07,G-01-02,18.67,46.67
MAT010,2026-08,G-01-01,40.0,53.33
MAT010,2026-08,G-01-02,35.0,46.67
MAT010,2026-09,G-01-01,45.33,53.33
MAT010,2026-09,G-01-02,39.67,46.67
MAT010,2026-10,G-01-01,53.33,53.33
MAT010,2026-10,G-01-02,46.67,46.67
MAT010,2026-11,G-01-01,58.67,53.33
MAT010,2026-11,G-01-02,51.33,46.67
MAT010,2026-12,G-01-01,2.67,53.33
MAT010,2026-12,G-01-02,2.33,46.67
MAT010,2027-01,G-01-01,2.67,53.33
MAT010,2027-01,G-01-02,2.33,46.67
