material,classe,periodo,demanda,entrada_pedidos_existentes,entrada_pedidos_novos,total_entradas,estoque_projetado,estoque_seguranca_3m,necessidade,pedido_gerado,periodo_entrega
MAT001,C,2026-03,400,0,0,0,50,1200,1560,1560,2026-04
MAT001,C,2026-04,420,500,1560,2060,1690,1210,0,0,
MAT001,C,2026-05,380,0,0,0,1310,790,0,0,
MAT001,C,2026-06,410,0,0,0,900,410,0,0,
MAT001,C,2026-07,0,0,0,0,900,0,0,0,
MAT001,C,2026-08,0,0,0,0,900,0,0,0,
MAT001,C,2026-09,0,0,0,0,900,0,0,0,
MAT001,C,2026-10,0,0,0,0,900,0,0,0,
MAT001,C,2026-11,0,0,0,0,900,0,0,0,
MAT001,C,2026-12,0,0,0,0,900,0,0,0,
MAT001,C,2027-01,0,0,0,0,900,0,0,0,
MAT001,C,2027-02,0,0,0,0,900,0,0,0,
MAT002,A,2026-03,50,0,0,0,-10,165,175,175,2026-04
MAT002,A,2026-04,60,80,175,255,185,180,0,0,
MAT002,A,2026-05,55,0,0,0,130,120,0,0,
MAT002,A,2026-06,65,0,0,0,65,65,0,0,
MAT002,A,2026-07,0,0,0,0,65,0,0,0,
MAT002,A,2026-08,0,0,0,0,65,0,0,0,
MAT002,A,2026-09,0,0,0,0,65,0,0,0,
MAT002,A,2026-10,0,0,0,0,65,0,0,0,
MAT002,A,2026-11,0,0,0,0,65,0,0,0,
MAT002,A,2026-12,0,0,0,0,65,0,0,0,
MAT002,A,2027-01,0,0,0,0,65,0,0,0,
MAT002,A,2027-02,0,0,0,0,65,0,0,0,
MAT003,B,2026-03,30,0,0,0,0,90,90,90,2026-04
MAT003,B,2026-04,30,0,90,90,60,90,30,30,2026-05
MAT003,B,2026-05,30,0,30,30,60,60,0,0,
MAT003,B,2026-06,30,0,0,0,30,30,0,0,
MAT003,B,2026-07,0,0,0,0,30,0,0,0,
MAT003,B,2026-08,0,0,0,0,30,0,0,0,
MAT003,B,2026-09,0,0,0,0,30,0,0,0,
MAT003,B,2026-10,0,0,0,0,30,0,0,0,
MAT003,B,2026-11,0,0,0,0,30,0,0,0,
MAT003,B,2026-12,0,0,0,0,30,0,0,0,
MAT003,B,2027-01,0,0,0,0,30,0,0,0,
MAT003,B,2027-02,0,0,0,0,30,0,0,0,
