Documento de compras;Item;Contrato básico;It.contrato superior;Fornecedor/centro fornecedor;Tipo doc.compras;Ctg.doc.compras;Grupo de compradores;Histórico pedido/docum.SolRem.;Data do documento;Código de imposto;Material;Texto breve;Grupo de mercadorias;Código de eliminação;Categoria do item;Ctg.class.cont.;Centro;Depósito;Qtd.pedido;UM pedido;Qtd.na UnidGestEstoq;Unidade manutenção estoque;Preço líquido;Moeda;Unidade preço;Quantidade prevista;Qtd.prev.pendente;a ser fornecida (quantidade);a ser fornecido (valor;Ãinda a faturar (quantidade);Ainda a faturar (valor);Núm.itens;Domicílio fiscal;Valor líquido pedido;Qtd.notificada
4500144903;10;4600003047;20;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A03;;29/01/2026;C1;402307;CONECTOR PERF AL 25-185MM2 / 1,5-35MM2;MC12002;;;;CDFL;INVT;29.450;UN;29.450;UN;61,60;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;1.814.214,24;41.700
4500144903;20;4600003047;30;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A03;;29/01/2026;C1;801240;CONECTOR PERF AL 25-185MM2 / 1,5-35MM2;MC12002;;;;CDFL;CUST;3.000;UN;3.000;UN;61,60;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;184.809,60;3.000
4500145746;10;4600003113;10;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;10/02/2026;C1;401834;CONECTOR PARAL AL 10AWG-1/0AWG;MC10301;;;;CDFL;INVT;2.230;UN;2.230;UN;9,64;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;21.506,34;2.230
4500145746;20;4600003113;20;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;10/02/2026;C1;801373;CONECTOR PARAL AL 10AWG-1/0AWG;MC10301;;;;CDFL;CUST;2.780;UN;2.780;UN;9,64;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;26.810,60;2.780
4500150061;10;4600003556;10;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;GAE;;20/03/2026;C1;800717;GRAMPO LV OLHAL 18MM 10-120/10-70MM2;MC12002;;;;CDFL;CUST;997;UN;997;UN;59,96;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;59.777,23;997
4500150182;10;4600003529;10;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;400512;CONECTOR DER CUNHA AL 1/0AWG 336,4MCM;MC12002;;;;CDFL;INVT;352;UN;352;UN;32,35;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;11.385,58;352
4500150182;20;4600003529;20;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;401034;CONECTOR DER CUNH AZ AL 4/0 2/0 336,4MCM;MC12002;;;;CDFL;INVT;1.327;UN;1.327;UN;10,76;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;14.278,65;1.327
4500150182;30;4600003529;30;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;402185;CONECTOR DER CUNHA ESTRIBO 336,4 MCM;MC12002;;;;CDFL;INVT;47;UN;47;UN;28,81;BRL;1;0;0;47;1.354,14;47;1.354,14;1;ZF 1302603;1.354,14;0
4500150182;40;4600003529;40;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;800813;CONECTOR DER CUNH AZ AL 2/0 4/0 336,4MCM;MC12002;;;;CDFL;CUST;549;UN;549;UN;10,76;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;5.907,29;549
4500150182;50;4600003529;50;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A12;;24/03/2026;C1;800557;CONECTOR DER CUNHA ESTRIBO 336,4 MCM;MC12002;;;;CDFL;CUST;6;UN;6;UN;28,81;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;172,87;6
4500150184;10;4600003516;10;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;25/03/2026;C1;401566;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;INVT;3.000;UN;3.000;UN;9,20;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;27.593,10;3.000
4500150184;20;4600003516;20;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;25/03/2026;C1;800889;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;CUST;1.300;UN;1.300;UN;9,20;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;11.957,01;1.300
4500150197;10;4600003516;30;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;25/03/2026;C1;410200; CONECTOR COMP TIPO H 95-95;MC12002;;;;CDFL;INVT;6.000;UN;6.000;UN;4,22;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;25.333,20;6.000
4500150425;10;4600003516;40;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;07/04/2026;C1;410200; CONECTOR COMP TIPO H 95-95;MC12002;;;;CDFL;INVT;15.000;UN;15.000;UN;4,22;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;63.333,00;15.000
4500150427;10;4600003564;30;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;GAE;;07/04/2026;C1;800717;GRAMPO LV OLHAL 18MM 10-120/10-70MM2;MC12002;;;;CDFL;CUST;1.214;UN;1.214;UN;48,17;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;58.483,24;1.214
4500150427;20;4600003564;40;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;GAE;;07/04/2026;C7;400142;GRAMPO LV OLHAL 18MM 10-120/10-70MM2;MC12002;;;;CDFL;INVT;2.000;UN;2.000;UN;43,38;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;86.765,00;2.000
4500152313;10;4600003516;10;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;17/04/2026;C1;401566;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;INVT;3.382;UN;3.382;UN;9,20;BRL;1;0;0;3.382;31.106,62;3.382;31.106,62;1;ZF 1302603;31.106,62;0
4500152335;10;4600003516;20;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;20/04/2026;C1;800889;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;CUST;2.838;UN;2.838;UN;9,20;BRL;1;0;0;2.838;26.103,07;2.838;26.103,07;1;ZF 1302603;26.103,07;0
4500152512;10;4600003047;70;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;22/04/2026;C1;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;MC12002;;;;CDFL;INVT;15.000;UN;15.000;UN;60,08;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;901.170,00;15.000
4500155704;10;4600003047;70;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;25/05/2026;C1;402307;CONECTOR PERF 4 SAÍDAS 25-240MM2/1,5-35M;MC12002;;;;CDFL;INVT;41.643;UN;41.643;UN;60,08;BRL;1;0;0;41.643;2.501.828,15;41.643;2.501.828,15;1;ZF 1302603;2.501.828,15;0
4500156070;10;4600003516;40;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;NB;F;A01;;29/05/2026;C1;410200; CONECTOR COMP TIPO H 95-95;MC12002;;;;CDFL;INVT;5.000;UN;5.000;UN;4,22;BRL;1;0;0;5.000;21.111,00;5.000;21.111,00;1;ZF 1302603;21.111,00;0
4500147275;10;;0;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;20/02/2026;C1;800966;PARAFUSO OLH AC 16MM 450MM;MC01301;;;;CDFL;CUST;145;UN;145;UN;20,96;BRL;1;0;0;145;3.039,52;145;3.039,52;1;ZF 1302603;3.039,52;0
4500147275;20;;0;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;20/02/2026;C1;800108;PARAFUSO CAB ABA AC 16MM 45MM;MC01301;;;;CDFL;CUST;371;UN;371;UN;2,42;BRL;1;0;0;371;897,08;371;897,08;1;ZF 1302603;897,08;0
4500150392;10;4600003552;180;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;800256;BRACO SUPORTE TIPO C 580X365MM 851/6;MC12002;;;;CDFL;CUST;87;UN;87;UN;85,44;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;7.433,20;87
4500150392;20;4600003552;190;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;401485;BRACO SUPORTE TIPO C 580X365MM 851/6;MC12002;;;;CDFL;INVT;874;UN;874;UN;85,44;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;74.673,77;874
4500150392;30;4600003552;200;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;801256;PERFIL U AC 76X900MM REDE COMPACTA;MC10701;;;;CDFL;CUST;19;UN;19;UN;77,31;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;1.468,91;19
4500150392;40;4600003552;210;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;403931;BRAÇO SUPORTE TIPO L HORIZONTAL  15 KV;MC12002;;;;CDFL;INVT;4;UN;4;UN;66,04;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;264,16;4
4500150392;50;4600003552;220;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;800392;FIXADOR PERFIL U AC 150DAN 300DAN;MC10701;;;;CDFL;CUST;42;UN;42;UN;15,18;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;637,46;42
4500150392;60;4600003552;230;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;800499;MAO-FRANCESA NORMAL AC 710X32X6,5MM;MC10701;;;;CDFL;CUST;1.087;UN;1.087;UN;12,73;BRL;1;0;0;1.087;13.839,36;1.087;13.839,36;1;ZF 1302603;13.839,36;1.087
4500150392;70;4600003552;240;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;801379;SELA CRUZETA POSTE AC 115MM 18MM;MC12002;;;;CDFL;CUST;67;UN;67;UN;8,39;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;562,04;67
4500150392;80;4600003552;250;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;404719;FIXADOR PERFIL U AC 150DAN 300DAN;MC10701;;;;CDFL;INVT;2.219;UN;2.219;UN;15,18;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;33.679,09;2.219
4500150392;90;4600003552;260;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;401117;MAO-FRANCESA NORMAL AC 710X32X6,5MM;MC10701;;;;CDFL;INVT;4.400;UN;4.400;UN;12,73;BRL;1;0;0;4.400;56.019,48;4.400;56.019,48;1;ZF 1302603;56.019,48;4.400
4500150392;100;4600003552;270;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;401844;PERFIL U AC 76X900MM REDE COMPACTA;MC01206;;;;CDFL;INVT;2.361;UN;2.361;UN;77,31;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;182.531,03;2.361
4500150402;10;4600003552;280;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;800192;AFASTADOR REDE SEC AC 700MM 500MM;MC12002;;;;CDFL;CUST;12;UN;12;UN;126,79;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;1.521,44;12
4500150402;20;4600003552;290;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;06/04/2026;C1;401375;AFASTADOR REDE SEC AC 700MM 500MM;MC12002;;;;CDFL;INVT;1.559;UN;1.559;UN;126,79;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;197.660,78;1.559
4500151133;10;;0;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;09/04/2026;C1;400889;HASTE ANCORA AC 2400MM 16MM;MC12002;;;;CDFL;INVT;725;UN;725;UN;40,33;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;29.242,22;725
4500152157;10;4600003549;260;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;801044;CINTA POSTE CIRC ACO 190MM;MC12002;;;;CDFL;CUST;130;UN;130;UN;18,90;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;2.456,69;130
4500152157;20;4600003549;270;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;400478;CINTA POSTE CIRC ACO 190MM;MC12002;;;;CDFL;INVT;280;UN;280;UN;18,90;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;5.291,33;280
4500152157;30;4600003549;280;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;800369;CINTA POSTE CIRC ACO 200MM;MC12002;;;;CDFL;CUST;100;UN;100;UN;19,43;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;1.942,77;100
4500152157;40;4600003549;290;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;401892;CINTA POSTE CIRC ACO 200MM;MC12002;;;;CDFL;INVT;450;UN;450;UN;19,43;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;8.742,46;450
4500152157;50;4600003549;300;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;800436;CINTA POSTE CIRC ACO 240MM;MC12002;;;;CDFL;CUST;100;UN;100;UN;22,72;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;2.271,99;100
4500152157;60;4600003549;310;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;NB;F;GAE;;17/04/2026;C1;400496;CINTA POSTE CIRC ACO 240MM;MC12002;;;;CDFL;INVT;310;UN;310;UN;22,72;BRL;1;0;0;0;0,00;0;0,00;1;ZF 1302603;7.043,17;310
