Divisão da remessa;Tipo doc.compras;Ctg.doc.compras;Grupo de compradores;Histórico pedido/docum.SolRem.;Data do documento;Material;Texto breve;Grupo de mercadorias;Código de eliminação;Categoria do item;Ctg.class.cont.;Centro;Depósito;Qtd.pedido;UM pedido;Preço líquido;Moeda;Unidade preço;Qtd.divisão;Data de remessa;Hora;Dat.rem.estatística;Quantidade anterior;Qtd.entrada;Quantidade saída;Qtd.fornecida;Requisição de compra;Item ReqC;Código de criação;Núm.itens;Contrato básico;a ser fornecido (valor;a ser fornecida (quantidade);Ãinda a faturar (quantidade);Ainda a faturar (valor);Categoria do item;Código de controle;Código de imposto;Código de liberação;Ctg.externa hierarquia;Den.característica 1;Denominação da característica 1;Denominação da característica 2;Denominação da característica 2;Denominação da característica 3;Denominação da característica 3;Dep.saída (do estq.);Documento de compras;Domicílio fiscal;Estado de liberação;Estrat.de liberação;Fim da validade;Fornecedor/centro fornecedor;Grupo de liberação;Grupo PSST;Histórico do consumo de componentes;Incompleto;Início per.validade;It.contrato superior;Item;Nº acompanhamento;Número da hierarquia;Número de documento configurável;Nº externo ordenação;Nº pacote;Nome de fornecedor;Organização compras;PriorNeces.;Prz.apresent.cotação;Qtd.na UnidGestEstoq;Qtd.notificada;Qtd.prev.pendente;Qtd.solicit.anterior;Quantidade prevista;Reg. info compras;Regra de agrupamento PSST;RFQ coletiva;Segmento de estoque;Segmento necessidade;Origem;Unid.prç.pedido;Unidade manutenção estoque;Urgência necessidade;ValFix.(cabeç.);Valor global pendente;Valor líquido pedido;Valor pendente;Valor solicitado
1;NB;F;A03;;29/01/2026;402307;CONECTOR PERF AL 25-185MM2 / 1,5-35MM2;MC12002;;;;CDFL;INVT;29450;UN;61,6;BRL;1;29450;46141;0;46141;0;0;0;0;10100687;10;R;1;4600003047;1814214,24;29450;29450;1814214,24;0;;C1;G;;;;;;;;;4500144903;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;20;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;29450;0;0;0;0;5300024416;;;;;;UN;UN;0;0;0;1814214,24;0;0
1;NB;F;A03;;29/01/2026;801240;CONECTOR PERF AL 25-185MM2 / 1,5-35MM2;MC12002;;;;CDFL;CUST;3000;UN;61,6;BRL;1;3000;46141;0;46141;0;0;0;0;10100687;30;R;1;4600003047;184809,6;3000;3000;184809,6;0;;C1;G;;;;;;;;;4500144903;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;30;20;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;3000;0;0;0;0;5300024883;;;;;;UN;UN;0;0;0;184809,6;0;0
1;NB;F;A12;;10/02/2026;401834;CONECTOR PARAL AL 10AWG-1/0AWG;MC10301;;;;CDFL;INVT;2230;UN;9,64;BRL;1;2230;46139;0;46139;0;0;0;0;10102526;40;R;1;4600003113;21506,34;2230;2230;21506,34;0;;C1;G;;;;;;;;;4500145746;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;10;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;2230;0;0;0;0;5300027064;;;;;;UN;UN;0;0;0;21506,34;0;0
1;NB;F;A12;;10/02/2026;801373;CONECTOR PARAL AL 10AWG-1/0AWG;MC10301;;;;CDFL;CUST;2780;UN;9,64;BRL;1;2780;46139;0;46139;0;0;0;0;10102526;20;R;1;4600003113;26810,6;2780;2780;26810,6;0;;C1;G;;;;;;;;;4500145746;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;20;20;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;2780;0;0;0;0;5300000005;;;;;;UN;UN;0;0;0;26810,6;0;0
1;NB;F;GAE;;20/03/2026;800717;GRAMPO LV OLHAL 18MM 10-120/10-70MM2;MC12002;;;;CDFL;CUST;997;UN;59,96;BRL;1;997;46150;0;46150;0;0;0;0;10128118;10;R;1;4600003556;59777,23;997;997;59777,23;0;;C1;G;;;;;;;;;4500150061;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;10;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;997;0;0;0;0;5300017022;;;;;;UN;UN;0;0;0;59777,23;0;0
1;NB;F;A12;;24/03/2026;400512;CONECTOR DER CUNHA AL 1/0AWG 336,4MCM;MC12002;;;;CDFL;INVT;352;UN;32,35;BRL;1;352;46165;0;46165;0;0;0;0;10130290;10;R;1;4600003529;11385,58;352;352;11385,58;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;10;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;352;0;0;0;0;5300032209;;;;;;UN;UN;0;0;0;11385,58;0;0
1;NB;F;A12;;24/03/2026;401034;CONECTOR DER CUNH AZ AL 4/0 2/0 336,4MCM;MC12002;;;;CDFL;INVT;1327;UN;10,76;BRL;1;1327;46165;0;46165;0;0;0;0;10130290;20;R;1;4600003529;14278,65;1327;1327;14278,65;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;20;20;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;1327;0;0;0;0;5300017626;;;;;;UN;UN;0;0;0;14278,65;0;0
1;NB;F;A12;;24/03/2026;402185;CONECTOR DER CUNHA ESTRIBO 336,4 MCM;MC12002;;;;CDFL;INVT;47;UN;28,81;BRL;1;47;46165;0;46165;0;0;0;0;10130290;30;R;1;4600003529;1354,14;47;47;1354,14;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;30;30;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;47;0;0;0;0;5300032210;;;;;;UN;UN;0;0;0;1354,14;0;0
1;NB;F;A12;;24/03/2026;800813;CONECTOR DER CUNH AZ AL 2/0 4/0 336,4MCM;MC12002;;;;CDFL;CUST;549;UN;10,76;BRL;1;549;46165;0;46165;0;0;0;0;10130290;40;R;1;4600003529;5907,29;549;549;5907,29;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;40;40;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;549;0;0;0;0;5300017629;;;;;;UN;UN;0;0;0;5907,29;0;0
1;NB;F;A12;;24/03/2026;800557;CONECTOR DER CUNHA ESTRIBO 336,4 MCM;MC12002;;;;CDFL;CUST;6;UN;28,81;BRL;1;6;46165;0;46165;0;0;0;0;10130290;50;R;1;4600003529;172,87;6;6;172,87;0;;C1;G;;;;;;;;;4500150182;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;50;50;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;6;0;0;0;0;5300032211;;;;;;UN;UN;0;0;0;172,87;0;0
1;NB;F;A01;;25/03/2026;401566;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;INVT;3000;UN;9,2;BRL;1;3000;46167;0;46167;0;0;0;0;10130232;10;R;1;4600003516;27593,1;3000;3000;27593,1;0;;C1;G;;;;;;;;;4500150184;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;10;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;3000;0;0;0;0;5300001040;;;;;;UN;UN;0;0;0;27593,1;0;0
1;NB;F;A01;;25/03/2026;800889;CONECTOR PARAL AL 4/0AWG 1/0AWG;MC10301;;;;CDFL;CUST;1300;UN;9,2;BRL;1;1300;46167;0;46167;0;0;0;0;10130232;20;R;1;4600003516;11957,01;1300;1300;11957,01;0;;C1;G;;;;;;;;;4500150184;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;20;20;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;1300;0;0;0;0;5300000006;;;;;;UN;UN;0;0;0;11957,01;0;0
1;NB;F;A01;;25/03/2026;410200; CONECTOR COMP TIPO H 95-95;MC12002;;;;CDFL;INVT;6000;UN;4,22;BRL;1;6000;46167;0;46167;0;0;0;0;10132598;10;R;1;4600003516;25333,2;6000;6000;25333,2;0;;C1;G;;;;;;;;;4500150197;ZF 1302603;X;19;;1003137    INCESA INDUSTRIA DE COMPONENTES ELE;2;;;;;30;10;;;;0;0;1003137    INCESA INDUSTRIA DE COMP;OA01;0;;6000;0;0;0;0;5300032219;;;;;;UN;UN;0;0;0;25333,2;0;0
1;NB;F;GAE;;20/02/2026;800966;PARAFUSO OLH AC 16MM 450MM;MC01301;;;;CDFL;CUST;145;UN;20,96;BRL;1;145;46153;0;46153;0;0;0;0;10128113;10;R;1;;3039,52;145;145;3039,52;0;;C1;G;;;;;;;;;4500147275;ZF 1302603;X;19;;1003152    ROMAGNOLE PRODUTOS ELETRICOS S.A.;2;;;;;0;10;;;;0;0;1003152    ROMAGNOLE PRODUTOS ELETR;OA01;0;;145;0;0;0;0;5300016098;;;;;;UN;UN;0;0;0;3039,52;0;0
